Package,File Name,Application Name,Generic Name
giada,giada.desktop,Giada,Drum machine and loop sequencer
giara,org.gabmus.giara.desktop,Giara,
gigalomania,gigalomania.desktop,Gigalomania,
giggle,giggle.desktop,Giggle,
gigolo,gigolo.desktop,Gigolo,Gigolo
gimagereader,gimagereader-gtk.desktop,gImageReader,OCR application
gimp,gimp.desktop,GNU Image Manipulation Program,Image Editor
ginga,ginga.desktop,Ginga,
ginkgocadx,ginkgocadx.desktop,Ginkgo CADx,DICOM Viewer
gip,gip.desktop,Gip IP Address Calculator,IP Adress Calculator
git-annex,git-annex.desktop,Git Annex,
git-cola,git-cola-folder-handler.desktop,Git Cola,
git-cola,git-cola.desktop,Git Cola,
git-cola,git-dag.desktop,Git DAG,
gitg,org.gnome.gitg.desktop,gitg,
gitso,gitso.desktop,Gitso,
gjacktransport,gjackclock.desktop,G. JACK Clock,JACK transport Big Clock
gjacktransport,gjacktransport.desktop,G. JACK Transport,JACK transport control tool
gjiten,gjiten.desktop,Gjiten,
gkbd-capplet,gkbd-keyboard-display.desktop,Keyboard Layout,
gkdebconf,gkdebconf.desktop,GkDebconf,
gkrellm,gkrellm.desktop,GKrellM System Monitor,
gl-117,gl-117.desktop,gl-117,
glabels,glabels-3.0.desktop,gLabels,Label Designer
glade,org.gnome.Glade.desktop,Glade,Interface Designer
glassgui,glasscommander.desktop,GlassCommander,Audio Stream Encoder
glassgui,glassgui.desktop,GlassGui,Audio Stream Encoder
glfer,glfer.desktop,glfer,
gliv,gliv.desktop,Gliv,
glob2,glob2.desktop,Globulation 2,
glogg,glogg.desktop,glogg,Log file browser
glogic,glogic.desktop,gLogic,
glom,glom.desktop,Glom,
glpeces,glpeces.desktop,GLPeces,GLPeces
gltron,gltron.desktop,GLtron,
glueviz,glueviz.desktop,Glueviz,
glurp,glurp.desktop,Glurp,
gm-assistant,gm-assistant.desktop,GM-Assistant,
gmanedit,gmanedit.desktop,gmanedit,
gmerlin,gmerlin-alsamixer.desktop,Gmerlin mixer,
gmerlin,gmerlin-kbd.desktop,Gmerlin KBD,
gmerlin,gmerlin-player.desktop,Gmerlin player,
gmerlin,gmerlin-plugincfg.desktop,Gmerlin plugin configurator,
gmerlin,gmerlin-recorder.desktop,Gmerlin recorder,
gmerlin,gmerlin-transcoder.desktop,Gmerlin transcoder,
gmerlin,gmerlin-visualizer.desktop,Gmerlin visualizer,
gmidimonitor,gmidimonitor-alsa.desktop,Gmidimonitor (with ALSA support),Gmidimonitor
gmidimonitor,gmidimonitor-jack.desktop,Gmidimonitor (with JACK support),Gmidimonitor
gmpc,gmpc.desktop,Gnome Music Player Client,
gmrun,gmrun.desktop,gmrun,Application Launcher
gmsh,gmsh.desktop,Gmsh Mesh Generator,Gmsh
gmtp,gmtp.desktop,gMTP,
gmult,gmult.desktop,Multiplication Puzzle,
gniall,gNiall.desktop,gNiall,
gnomad2,gnomad2.desktop,Gnomad 2,Nomad/Zen Jukebox/Dell DJ Client
gnome-2048,org.gnome.TwentyFortyEight.desktop,2048,
gnome-activity-journal,org.gnome.ActivityJournal.desktop,Activity Journal,Activity Journal
gnome-authenticator,com.github.bilelmoussaoui.Authenticator.desktop,Authenticator,Two-factor Authentication
gnome-bluetooth,bluetooth-sendto.desktop,Bluetooth Transfer,
gnome-books,org.gnome.Books.desktop,Books,
gnome-boxes,org.gnome.Boxes.desktop,Boxes,Virtual machine viewer/manager
gnome-breakout,gnome-breakout.desktop,GNOME Breakout,
gnome-builder,org.gnome.Builder.desktop,Builder,
gnome-calculator,org.gnome.Calculator.desktop,Calculator,
gnome-calendar,org.gnome.Calendar.desktop,Calendar,
gnome-calls,sm.puri.Calls.desktop,Calls,Phone
gnome-characters,org.gnome.Characters.desktop,Characters,
gnome-chess,org.gnome.Chess.desktop,Chess,Chess Game
gnome-clocks,org.gnome.clocks.desktop,Clocks,Clocks
gnome-color-manager,gcm-import.desktop,ICC Profile Installer,
gnome-color-manager,gcm-picker.desktop,Color Picker,
gnome-color-manager,org.gnome.ColorProfileViewer.desktop,Color Profile Viewer,
gnome-contacts,org.gnome.Contacts.desktop,Contacts,
gnome-control-center,gnome-applications-panel.desktop,Applications,
gnome-control-center,gnome-background-panel.desktop,Background,
gnome-control-center,gnome-bluetooth-panel.desktop,Bluetooth,
gnome-control-center,gnome-camera-panel.desktop,Camera,
gnome-control-center,gnome-color-panel.desktop,Color,
gnome-control-center,gnome-control-center.desktop,Settings,
gnome-control-center,gnome-datetime-panel.desktop,Date & Time,
gnome-control-center,gnome-default-apps-panel.desktop,Default Applications,
gnome-control-center,gnome-diagnostics-panel.desktop,Diagnostics,
gnome-control-center,gnome-display-panel.desktop,Displays,
gnome-control-center,gnome-info-overview-panel.desktop,About,
gnome-control-center,gnome-keyboard-panel.desktop,Keyboard Shortcuts,
gnome-control-center,gnome-location-panel.desktop,Location Services,
gnome-control-center,gnome-lock-panel.desktop,Screen Lock,
gnome-control-center,gnome-microphone-panel.desktop,Microphone,
gnome-control-center,gnome-mouse-panel.desktop,Mouse & Touchpad,
gnome-control-center,gnome-network-panel.desktop,Network,
gnome-control-center,gnome-notifications-panel.desktop,Notifications,
gnome-control-center,gnome-online-accounts-panel.desktop,Online Accounts,
gnome-control-center,gnome-power-panel.desktop,Power,
gnome-control-center,gnome-printers-panel.desktop,Printers,
gnome-control-center,gnome-region-panel.desktop,Region & Language,
gnome-control-center,gnome-removable-media-panel.desktop,Removable Media,
gnome-control-center,gnome-search-panel.desktop,Search,
gnome-control-center,gnome-sharing-panel.desktop,Sharing,
gnome-control-center,gnome-sound-panel.desktop,Sound,
gnome-control-center,gnome-thunderbolt-panel.desktop,Thunderbolt,
gnome-control-center,gnome-universal-access-panel.desktop,Accessibility,
gnome-control-center,gnome-usage-panel.desktop,File History & Trash,
gnome-control-center,gnome-user-accounts-panel.desktop,Users,
gnome-control-center,gnome-wacom-panel.desktop,Wacom Tablet,
gnome-control-center,gnome-wifi-panel.desktop,Wi-Fi,
gnome-dictionary,org.gnome.Dictionary.desktop,Dictionary,
gnome-disk-utility,gnome-disk-image-mounter.desktop,Disk Image Mounter,
gnome-disk-utility,gnome-disk-image-writer.desktop,Disk Image Writer,
gnome-disk-utility,org.gnome.DiskUtility.desktop,Disks,
gnome-documents,org.gnome.Documents.desktop,Documents,
gnome-dvb-client,gnome-dvb-control.desktop,Digital TV Control Center,
gnome-dvb-client,gnome-dvb-setup.desktop,Digital TV Setup,
gnome-feeds,org.gabmus.gfeeds.desktop,Feeds,
gnome-firmware,org.gnome.Firmware.desktop,Firmware,
gnome-flashback,gnome-flashback.desktop,GNOME Flashback,
gnome-font-viewer,org.gnome.font-viewer.desktop,Fonts,
gnome-games-app,org.gnome.Games.desktop,Games,Video game player
gnome-genius,gnome-genius.desktop,Genius Math Tool,
gnome-gmail,gnome-gmail.desktop,Gnome Gmail,GMail Web Integration
gnome-initial-setup,gnome-initial-setup.desktop,Initial Setup,
gnome-keysign,org.gnome.Keysign.desktop,Keysign,
gnome-klotski,org.gnome.Klotski.desktop,Klotski,
gnome-logs,org.gnome.Logs.desktop,Logs,Log Viewer
gnome-mahjongg,org.gnome.Mahjongg.desktop,Mahjongg,
gnome-maps,org.gnome.Maps.desktop,Maps,
gnome-mastermind,gnome-mastermind.desktop,Mastermind,
gnome-metronome,com.jvieira.tpt.Metronome.desktop,Metronome,
gnome-mines,org.gnome.Mines.desktop,Mines,
gnome-mousetrap,gnome-mousetrap.desktop,Gnome Mousetrap,
gnome-multi-writer,org.gnome.MultiWriter.desktop,MultiWriter,
gnome-music,org.gnome.Music.desktop,Music,Music Player
gnome-nettool,gnome-nettool.desktop,Network Tools,
gnome-nibbles,org.gnome.Nibbles.desktop,Nibbles,
gnome-packagekit,gpk-log.desktop,Package Log,
gnome-packagekit,org.gnome.PackageUpdater.desktop,Package Updater,
gnome-packagekit,org.gnome.Packages.desktop,Packages,
gnome-paint,gnome-paint.desktop,Gnome Paint Drawing Editor,
gnome-panel,gnome-panel.desktop,Panel,
gnome-passwordsafe,org.gnome.PasswordSafe.desktop,Password Safe,
gnome-phone-manager,gnome-phone-manager.desktop,Phone Manager,
gnome-photos,org.gnome.Photos.desktop,Photos,
gnome-pie,gnome-pie.desktop,Gnome-Pie,
gnome-power-manager,org.gnome.PowerStats.desktop,Power Statistics,
gnome-recipes,org.gnome.Recipes.desktop,Recipes,
gnome-robots,org.gnome.Robots.desktop,Robots,
gnome-screensaver,gnome-screensaver.desktop,Screensaver,
gnome-screensaver-flags,flags-slideshow.desktop,Flags of the world,
gnome-screenshot,org.gnome.Screenshot.desktop,Screenshot,
gnome-shell,evolution-calendar.desktop,Evolution Calendar,
gnome-shell,org.gnome.Shell.Extensions.desktop,Extensions,
gnome-shell,org.gnome.Shell.PortalHelper.desktop,Network Login,
gnome-shell,org.gnome.Shell.desktop,GNOME Shell,
gnome-shell-extension-prefs,org.gnome.Extensions.desktop,Extensions,
gnome-shell-pomodoro,org.gnome.Pomodoro.desktop,Pomodoro,
gnome-shell-timer,gnome-shell-timer-config.desktop,gnome-shell-timer Preference,Preference Editor for gnome-shell-timer
gnome-software,gnome-software-local-file.desktop,Software Install,
gnome-software,org.gnome.Software.desktop,Software,
gnome-sound-recorder,org.gnome.SoundRecorder.desktop,Sound Recorder,
gnome-split,gnome-split.desktop,GNOME Split,"""Files splitter"""
gnome-subtitles,org.gnome.GnomeSubtitles.desktop,Gnome Subtitles,Subtitle Editor
gnome-sudoku,org.gnome.Sudoku.desktop,Sudoku,
gnome-system-log,gnome-system-log.desktop,System Log,
gnome-system-monitor,gnome-system-monitor-kde.desktop,GNOME System Monitor,
gnome-system-monitor,gnome-system-monitor.desktop,System Monitor,
gnome-system-tools,shares.desktop,Shared Folders,
gnome-system-tools,time.desktop,Time and Date,
gnome-system-tools,users.desktop,Users and Groups,
gnome-taquin,org.gnome.Taquin.desktop,Taquin,15-puzzle
gnome-terminal,org.gnome.Terminal.desktop,Terminal,
gnome-tetravex,org.gnome.Tetravex.desktop,Tetravex,
gnome-todo,org.gnome.Todo.desktop,To Do,
gnome-tweaks,org.gnome.tweaks.desktop,Tweaks,
gnome-usage,org.gnome.Usage.desktop,Usage,
gnome-user-share,gnome-user-share-webdav.desktop,File Sharing,
gnome-video-arcade,gnome-video-arcade.desktop,GNOME Video Arcade,Video Arcade
gnome-weather,org.gnome.Weather.desktop,Weather,
gnomekiss,gnomekiss.desktop,GnomeKiSS,
gnomint,gnomint.desktop,gnoMint X.509 CA Manager,gnoMint X.509 CA Manager
gnote,gnote.desktop,Gnote,Note-taker
gnubg,gnubg.desktop,GNU Backgammon,Backgammon
gnubiff,gnubiff.desktop,Gnubiff,Mail notification program
gnubik,gnubik.desktop,Gnubik,GNUbik
gnucash,gnucash.desktop,GnuCash,Finance Management
gnudatalanguage,gdl.desktop,GNU Data Language,
gnugo,gnugo.desktop,GnuGo,
gnujump,gnujump.desktop,GNUjump,
gnumail.app,GNUMail.desktop,GNUMail,
gnumed-client,gnumed_client.desktop,GNUmed EMR,Electronic Medical Record
gnumeric,gnumeric.desktop,Gnumeric,Spreadsheet
gnunet-gtk,gnunet-fs-gtk.desktop,GNUnet Secured P2P,GNUnet Client
gnunet-gtk,gnunet-gtk.desktop,GNUnet Secured P2P (Graphical front-end tools),GNUnet Client (Graphical front-end tools)
gnunet-gtk,gnunet-setup.desktop,GNUnet Setup,GNUnet Setup
gnuradio,gnuradio-grc.desktop,GNU Radio Companion,
gnurobbo,gnurobbo.desktop,GNU Robbo,
gnuserv,gnuserv.desktop,gnuclient,gnuclient
gnusim8085,GNUSim8085.desktop,GNUSim8085,
gnustep-examples,Calculator.desktop,GNUstep Calculator,
gnustep-examples,Ink.desktop,Ink Text Editor,
goattracker,goattracker.desktop,GoatTracker,
goban-ss,goban.desktop,Goban,
gobby,gobby-0.5.desktop,Gobby,Collaborative Editor
godot3,godot3.desktop,Godot Engine,Libre game engine
gogglesmm,gogglesmm.desktop,Goggles Music Manager,Music Player
goldencheetah,GoldenCheetah.desktop,GoldenCheetah,
goldendict,goldendict.desktop,GoldenDict,Multiformat Dictionary
golly,golly.desktop,Golly,Game of Life Simulator
gom,gom.desktop,Gom Audio Mixer,
gomoku.app,Gomoku.desktop,Gomoku.app,
goobox,org.gnome.Goobox.desktop,CD Player,
goodvibes,io.gitlab.Goodvibes.desktop,Goodvibes,Radio Player
gopchop,gopchop.desktop,GOPchop,
gorm.app,Gorm.desktop,Gorm Interface Builder,
gosa-desktop,gosa-desktop.desktop,GOsa,GOsa²
gourmet,io.github.thinkle.Gourmet.desktop,Gourmet,Recipe Manager
goverlay,io.github.benjamimgois.goverlay.desktop,GOverlay,
goxel,goxel.desktop,Goxel,3D voxel editor
gpa,gpa.desktop,gpa,GNU Privacy Assistant
gpac,gpac.desktop,MP4Client,Media Player
gparted,gparted.desktop,GParted,Partition Editor
gpaste,org.gnome.GPaste.Ui.desktop,GPaste,
gperiodic,gperiodic.desktop,GPeriodic,Periodic table of the elements
gpick,gpick.desktop,Gpick,Color picker
gpicview,gpicview.desktop,Image Viewer,Image Viewer
gplanarity,gplanarity.desktop,gPlanarity,
gpodder,gpodder-url-handler.desktop,gPodder (subscribe to feed),
gpodder,gpodder.desktop,gPodder,Podcast Client
gpomme,gpomme-c.desktop,pommed GTK client configuration GUI,
gpomme,gpomme.desktop,pommed GTK client,
gpredict,gpredict.desktop,Gpredict,
gprompter,gprompter.desktop,gprompter,Predictive text editor
gpsbabel-gui,gpsbabel.desktop,GPSBabel,GPSBabel
gpscorrelate-gui,gpscorrelate.desktop,GPSCorrelate,Geotagging tool
gpsd-clients,xgps.desktop,xgps,GPS information
gpsd-clients,xgpsspeed.desktop,xgpsspeed,GPS speedometer
gpsprune,gpsprune.desktop,GpsPrune,
gpxviewer,gpxviewer.desktop,GPX Viewer,
gqrx-sdr,gqrx.desktop,Gqrx,Software Defined Radio
grace,grace.desktop,Grace,
grads,grads.desktop,GraDS - Grid Analysis and Display System,GrADS
grafx2,grafx2.desktop,GrafX2,
gramps,gramps.desktop,Gramps,Genealogy System
granatier,org.kde.granatier.desktop,Granatier,Bomberman clone
granite-demo,io.elementary.granite.demo.desktop,Granite Demo,
granule,granule.desktop,Granule,
graphmonkey,graphmonkey.desktop,Graphmonkey,
grass-core,grass78.desktop,GRASS GIS 7,Geographic Information System
gravitation,gravitation.desktop,Gravitation,
gravitywars,gravitywars.desktop,Gravity Wars,gravitywars
grdesktop,grdesktop.desktop,Remotedesktop Client,
greed,greed.desktop,Greed,
gretl-common,gretl.desktop,gretl,
gridlock.app,Gridlock.desktop,Gridlock,
grig,grig.desktop,Grig,
gringotts,gringotts.desktop,Gringotts,"Electronic ""Strongbox"""
grisbi,grisbi.desktop,Grisbi,
gromit,gromit.desktop,gromit,gromit
gromit-mpx,net.christianbeier.Gromit-MPX.desktop,Gromit-MPX,
groovy,groovyConsole.desktop,Groovy Script Console,
grop,grop.desktop,Package Organizer,Package Organizer
growl-for-linux,gol.desktop,Growl For Linux,
grpn,grpn.desktop,Grpn Calculator,Calculator
grr.app,Grr.desktop,Grr Feed Reader,
grsync,grsync.desktop,Grsync,Synchronize files with rsync
grub-customizer,grub-customizer.desktop,Grub Customizer,
gscan2pdf,net.sourceforge.gscan2pdf.desktop,gscan2pdf,
gsequencer,gsequencer.desktop,Advanced Gtk+ Sequencer,Sequencer
gsmartcontrol,gsmartcontrol.desktop,GSmartControl,Hard Disk and SSD Health Inspection
gtamsanalyzer.app,GTAMSAnalyzer.desktop,GTAMSAnalyzer,
gtans,gtans.desktop,Tangrams,
gtetrinet,gtetrinet.desktop,GTetrinet,Tetrinet client
gthumb,org.gnome.gThumb.desktop,gThumb,Image Viewer
gtick,gtick.desktop,GTick,
gtimelog,gtimelog.desktop,Time Log,
gtimer,gtimer.desktop,GTimer,
gtk-3-examples,gtk3-demo.desktop,GTK+ Demo,
gtk-3-examples,gtk3-icon-browser.desktop,Icon Browser,
gtk-3-examples,gtk3-widget-factory.desktop,Widget Factory,
gtk-chtheme,gtk-chtheme.desktop,Gtk-ChTheme,GTK+ 2.0 theme changer and previewer utility
gtk-vector-screenshot,take-vector-screenshot.desktop,Take Vector Screenshot,
gtkam,gtkam.desktop,Gtkam Digital Camera Browser,
gtkatlantic,gtkatlantic.desktop,GtkAtlantic,Monopd network client
gtkballs,gtkballs.desktop,GtkBalls,GtkBalls
gtkboard,gtkboard.desktop,Gtkboard Board Games,Board Games
gtkhash,gtkhash.desktop,GtkHash,Checksum Calculator
gtkpod,gtkpod.desktop,gtkpod,iPod Manager
gtkterm,gtkterm.desktop,Serial port terminal,
gtkwave,gtkwave.desktop,GTKWave,Electronic Waveform Viewer
gtranscribe,org.innir.gtranscribe.desktop,gTranscribe,
gtranslator,org.gnome.Gtranslator.desktop,Translation Editor,PO File Editor
guake,guake-prefs.desktop,Guake Preferences,
guake,guake.desktop,Guake Terminal,
guake-indicator,guake-indicator.desktop,Guake Indicator,
gucharmap,gucharmap.desktop,Character Map,
gufw,gufw.desktop,Firewall Configuration,
guidedog,guidedog.desktop,Guidedog,
guitarix,guitarix.desktop,guitarix,Mono Amplifier
gummi,gummi.desktop,Gummi,LaTeX Editor
gunroar,gunroar.desktop,Gunroar,
gupnp-tools,gupnp-av-cp.desktop,UPnP AV Control Point,
gupnp-tools,gupnp-network-light.desktop,UPnP Network Light,
gupnp-tools,gupnp-universal-cp.desktop,UPnP Universal Control Point,
guvcview,guvcview.desktop,guvcview,GTK UVC video viewer
guymager,guymager.desktop,Guymager,Imager
gv,gv.desktop,gv,PS and PDF viewer
gvb,gvb.desktop,Gvb,
gvidm,gvidm.desktop,gvidm,
gwaei,gwaei.desktop,gWaei,Japanese-English Dictionary
gwakeonlan,gwakeonlan.desktop,gWakeOnLAN,gWakeOnLAN
gwaterfall,gwaterfall.desktop,Waterfall,
gwave,gwave.desktop,gwave,Gwave Waveform Viewer
gwc,gtk-wave-cleaner.desktop,Gtk Wave Cleaner,
gwenview,org.kde.gwenview.desktop,Gwenview,KDE Image Viewer
gworkspace.app,GWorkspace.desktop,GWorkspace,
gworldclock,gworldclock.desktop,gworldclock,World Clock
gwsetup,gwsetup.desktop,gwsetup,Geneweb genealogy software - configuration
gwyddion,gwyddion.desktop,Gwyddion,
gxkb,gxkb.desktop,Gxkb,Keyboard switcher
gxmms2,gxmms2.desktop,gxmms2,Audio Player
gxtuner,gxtuner.desktop,gxtuner,Tuner
gyrus,gyrus.desktop,Gyrus IMAP Cyrus Administrator,
hamexam,hamexam.desktop,hamexam,hamexam
hamster-time-tracker,org.gnome.Hamster.GUI.desktop,Hamster,
handbrake,fr.handbrake.ghb.desktop,HandBrake,Media Transcoder
hannah,hannah.desktop,Help Hannah's Horse,
hannah-foo2zjs,hannah-foo2zjs.desktop,Hannah,Printer Firmware Installer
hardinfo,hardinfo.desktop,System Profiler and Benchmark,
haruna,com.georgefb.haruna.desktop,Haruna Video Player,
hasciicam,hasciicam.desktop,HasciiCam,HasciiCam
hashcheck,hashcheck.desktop,Hashcheck,Hashcheck
hatari,hatari.desktop,Hatari,
hatari,hatariui.desktop,Hatari UI,
hdate-applet,ghcal.desktop,Hdate,
hdf-compass,HDFCompass.desktop,HDFCompass,HDFCompass
heaptrack-gui,org.kde.heaptrack.desktop,Heaptrack,Profiler Frontend
hedgewars,hedgewars.desktop,Hedgewars,Fighting Hedgehogs
helpman,org.gnome.helpman.desktop,Helpman Manuals / Guides / Tutorials,
helpviewer.app,HelpViewer.desktop,HelpViewer,
herculesstudio,herculesstudio.desktop,HerculesStudio,Hercules Studio
heroes,heroes.desktop,Heroes,
hex-a-hop,hex-a-hop.desktop,Hex-a-hop,Logic Game
hexalate,hexalate.desktop,Hexalate,Color Matching Game
hexchat,io.github.Hexchat.desktop,HexChat,IRC Client
hexter,hexter.desktop,Hexter,
higan,higan.desktop,higan,
hijra-applet,hijra-applet.desktop,,
hime,hime-setup.desktop,hime Setup,
hitori,org.gnome.Hitori.desktop,Hitori,
hivelytracker,hivelytracker.desktop,Hively Tracker,
holotz-castle,holotz-castle.desktop,Holotz Castle,holotz-castle
homebank,homebank.desktop,HomeBank,Personal finance
horgand,horgand.desktop,Horgand,Soft Synth
horizon-eda,org.horizon_eda.HorizonEDA.desktop,Horizon EDA,
hoteldruid,net.digitaldruids.hoteldruid_launcher.desktop,HotelDruid,Hotel Management
hotspot,hotspot.desktop,Hotspot,CPU Profiler
hplip-gui,hp-fab.desktop,Fax address book,Fax address book
hplip-gui,hp-sendfax.desktop,HPLIP Fax Utility,Fax Utility
hplip-gui,hplip-kubuntu.desktop,HPLIP Toolbox,Printer Toolbox
hplip-gui,hplip.desktop,HPLIP Toolbox,Printer Toolbox
hsqldb-utils,hsqldb-databasemanager.desktop,HSQLDB Database Manager,
htmldoc,htmldoc.desktop,HTMLDOC,
htop,htop.desktop,Htop,Process Viewer
httraqt,httraqt.desktop,HTTraQt,HTTraQt
hugin,PTBatcherGUI.desktop,Hugin Batch Processor,Panorama batch processor GUI
hugin,calibrate_lens_gui.desktop,Hugin Calibrate Lens,Lens Calibrator
hugin,hugin.desktop,Hugin Panorama Creator,Panorama stitcher
hugin,pto_gen.desktop,Hugin PTO generator,Panorama project generator
hv3,hv3.desktop,Hv3 Web Browser,Web Browser
hwloc,lstopo.desktop,Hardware Locality lstopo,
hydra-gtk,hydra-gtk.desktop,XHydra,Network security auditor
hydrapaper,org.gabmus.hydrapaper.desktop,HydraPaper,
hydrogen,org.hydrogenmusic.Hydrogen.desktop,Hydrogen,Drum Machine
hyperrogue,hyperrogue.desktop,HyperRogue,
i3-wm,i3.desktop,i3,A dynamic tiling window manager
iagno,org.gnome.Reversi.desktop,Reversi,Reversi
iannix,iannix.desktop,IanniX,
ibus,org.freedesktop.IBus.Panel.Emojier.desktop,Emoji Choice,
ibus,org.freedesktop.IBus.Panel.Extension.Gtk3.desktop,Emoji Choice,
ibus,org.freedesktop.IBus.Setup.desktop,IBus Preferences,
ibus-anthy,ibus-setup-anthy.desktop,IBus Anthy Setup,
ibus-avro,ibus-setup-ibus-avro.desktop,IBus Avro Phonetic Preferences,
ibus-braille,ibus-braille-abbreviation-editor.desktop,ibus-braille-abbreviation-editor,
ibus-braille,ibus-braille-language-editor.desktop,ibus-braille-language-editor,
ibus-braille,ibus-braille-preferences.desktop,ibus-braille-preferences,
ibus-cangjie,ibus-setup-cangjie.desktop,Cangjie Preferences,
ibus-cangjie,ibus-setup-quick.desktop,Quick Preferences,
ibus-chewing,ibus-setup-chewing.desktop,IBus Chewing Preferences,
ibus-hangul,ibus-setup-hangul.desktop,IBus Hangul Preferences,
ibus-input-pad,ibus-setup-input-pad.desktop,IBus Input Pad Setup,
ibus-kkc,ibus-setup-kkc.desktop,Kana Kanji Conversion Preferences,
ibus-libpinyin,ibus-setup-libbopomofo.desktop,IBus LibBopomofo Preferences,
ibus-libpinyin,ibus-setup-libpinyin.desktop,IBus LibPinyin Setup,
ibus-libzhuyin,ibus-setup-libzhuyin.desktop,IBus LibZhuyin Setup,
ibus-m17n,ibus-setup-m17n.desktop,IBus M17N Setup,
ibus-pinyin,ibus-setup-bopomofo.desktop,IBus Bopomofo Preferences,
ibus-pinyin,ibus-setup-pinyin.desktop,IBus Pinyin Setup,
ibus-skk,ibus-setup-skk.desktop,IBus SKK Setup,
ibus-table,ibus-setup-table.desktop,IBus Table Setup,
ibus-typing-booster,emoji-picker.desktop,Emoji Picker,
ibus-typing-booster,ibus-setup-typing-booster.desktop,Typing Booster Preferences,
ibus-unikey,ibus-setup-Unikey.desktop,IBus-Unikey Setup,
icebreaker,icebreaker.desktop,IceBreaker,IceBreaker
icecc-monitor,icemon.desktop,Icemon,Icecream Monitor
icedtea-netx,icedtea-netx-javaws.desktop,IcedTea Web Start,Java Web Start
icedtea-netx,itweb-settings.desktop,IcedTea Web Control Panel,Control Panel
idle,idle.desktop,IDLE,
idle-python2.7,idle-python2.7.desktop,IDLE (using Python-2.7),
idle-python3.9,idle-python3.9.desktop,IDLE (using Python-3.9),
ii-esu,ii-esu.desktop,ii-esu,ii-esu
ikarus,ikarus.desktop,Ikarus Scheme,
im-config,im-config.desktop,Input Method,
imagej,imagej.desktop,ImageJ,Image Editor
imagemagick-6.q16,display-im6.q16.desktop,ImageMagick (color depth=q16),
imagemagick-6.q16hdri,display-im6.q16hdri.desktop,ImageMagick (color depth=q16hdri),
imagination,imagination.desktop,Imagination,A slideshow maker
imv,imv.desktop,imv,Image viewer
imview,imview.desktop,Imview Image Viewer,Image Viewer
indicator-sensors,indicator-sensors.desktop,Hardware Sensors Indicator,Hardware Sensors Indicator
info,info.desktop,TeXInfo,
inkscape,org.inkscape.Inkscape.desktop,Inkscape,Vector Graphics Editor
input-pad,input-pad.desktop,Input Pad,
instead,instead.desktop,INSTEAD,
invesalius,invesalius.desktop,InVesalius,InVesalius
ipqalc,ipqalc.desktop,IpQalc,IP address calculations
iptux,iptux.desktop,iptux,
iraf,iraf.desktop,IRAF,Astronomy Framework
ironseed,ironseed.desktop,Ironseed,Strategy Game
isag,isag.desktop,Isag System Activity Grapher,
isenkram,isenkramd.desktop,Isenkram,Package suggestions for hardware
isomaster,isomaster.desktop,ISO Master,ISO File Editor
itksnap,itksnap.desktop,ITK-SNAP,3D Structure Segmentation
jaaa,jaaa-alsa.desktop,Jaaa (with ALSA support),
jaaa,jaaa-jack.desktop,Jaaa (with JACK support),
jabref,jabref.desktop,JabRef,
jack-keyboard,jack-keyboard.desktop,JACK Keyboard,
jag,jag.desktop,JAG,
jalview,jalview.desktop,Jalview,
jameica,jameica.desktop,Jameica,
jami,jami-gnome.desktop,Jami,Jami
jamin,jamin.desktop,JAMin,
jamulus,jamulus.desktop,Jamulus,Internet Jam Session Software
japa,japa-alsa.desktop,Japa (with ALSA support),
japa,japa-jack.desktop,Japa (with JACK support),
javamorph,javamorph.desktop,JavaMorph,JavaMorph
jaxe,jaxe.desktop,Jaxe,XML Editor
jclic,jclic.desktop,JClic,
jclic,jclicauthor.desktop,JClic Author,
jclic,jclicreports.desktop,JClic reports server,
jdim,jdim.desktop,JDim 2ch browser,
jedit,jedit.desktop,jEdit,Programmer's Text Editor
jeex,jeex.desktop,Jeex,
jemboss,jemboss.desktop,Jemboss,GUI for EMBOSS
jester,jester.desktop,Jester,Jester
jfractionlab,JFractionLab.desktop,JFractionLab,Fractions exercices
jftp,jftp.desktop,JFTP,JFTP
jigzo,jigzo.desktop,jigzo,
jkmeter,jkmeter.desktop,Jkmeter,Audio Level Meter
jmeter,jmeter.desktop,Apache JMeter,
jmeters,jmeters.desktop,Jmeters,Multichannel audio level meter
jmol,jmol.desktop,Jmol,
jnoisemeter,jnoisemeter.desktop,Jnoisemeter,Audio test signals meter
joe,jmacs.desktop,Joe's Own Editor - EMACS Emulation,Text Editor
joe,joe.desktop,Joe's Own Editor,Text Editor
joe,jpico.desktop,Joe's Own Editor - NANO/PICO Emulation,Text Editor
joe,jstar.desktop,Joe's Own Editor - WordStar Emulation,Text Editor
joe-jupp,org.mirbsd.Jupp.jmacs.desktop,"jupp, programmer’s editor — Emacs flavour",Text Editor
joe-jupp,org.mirbsd.Jupp.joe.desktop,"jupp, programmer’s editor — JOE flavour",Text Editor
joe-jupp,org.mirbsd.Jupp.jpico.desktop,"jupp, programmer’s editor — jpico (pico, GNU nano) flavour",Text Editor
joe-jupp,org.mirbsd.Jupp.jstar.desktop,"jupp, programmer’s editor — jstar (old, pre-jupp, WordStar) flavour",Text Editor
josm,org.openstreetmap.josm.desktop,JOSM,Java OpenStreetMap Editor
josm-installer,org.openstreetmap.josm.desktop,JOSM,Java OpenStreetMap Editor
js8call,js8call.desktop,js8call,
jstest-gtk,jstest-gtk.desktop,jstest-gtk,
