Package,File Name,Application Name,Generic Name
arc-gui-clients,arcsub-ui.desktop,ARC Job Submission Tool,Job Submission Tool
ardentryst,Ardentryst.desktop,Ardentryst,
ardour,ardour.desktop,Ardour6,Ardour Digital Audio Workstation 6
arduino,arduino.desktop,Arduino IDE,Arduino IDE
ario,ario.desktop,Ario,Ario music player
ark,org.kde.ark.desktop,Ark,Archiving Tool
armagetronad,org.armagetronad.armagetronad.desktop,Armagetron Advanced,
artemis,act.desktop,Artemis Comparison Tool,Artemis Comparison Tool
artemis,art.desktop,Artemis,Artemis
artemis,bamview.desktop,BamView,BamView
artemis,dnaplotter.desktop,DNAPlotter,DNAPlotter
artha,artha.desktop,Artha,Thesaurus
artikulate,org.kde.artikulate.desktop,Artikulate,Artikulate Pronunciation Trainer
asc,asc.desktop,Advanced Strategic Command,Strategy Game
asciijump,asciijump.desktop,asciijump,
ase,ase-gui.desktop,ASE GUI,ASE GUI
aseba,asebachallenge.desktop,Aseba Challenge,Aseba robot simulator for network play
aseba,asebaonlinehelp.desktop,Aseba Online Help,
aseba,asebaplayground.desktop,Aseba Playground,Aseba robot simulator
aseba,asebastudio.desktop,Aseba Studio,Integrated Development Environment
aseba,asebastudiothymio.desktop,Aseba Studio for Thymio,Integrated Development Environment
aseba,asebawebridge.desktop,Thymio Web Bridge,Thymio Web Bridge
aseba,thymioupgrader.desktop,Thymio Firmware Upgrader,
aseba,thymiovpl.desktop,Thymio VPL,
aseba,thymiownetconfig.desktop,Wireless Thymio Network Configurator,
assaultcube,assaultcube.desktop,AssaultCube,
astroid,astroid.desktop,Astroid Mail,
astromenace,astromenace.desktop,AstroMenace,
asunder,asunder.desktop,Asunder CD Ripper,Audio CD Ripper
asylum,asylum.desktop,Asylum,
atanks,atanks.desktop,Atomic Tanks,
atomix,atomix.desktop,Atomix,Molecule puzzle game
atril,atril.desktop,Atril Document Viewer,Document Viewer
audacious,audacious.desktop,Audacious,Music Player
audacity,audacity.desktop,Audacity,Sound Editor
aumix,aumix.desktop,aumix,Audio Mixer
aumix-gtk,aumix-gtk.desktop,aumix,Audio Mixer
auralquiz,auralquiz.desktop,Auralquiz,Music Quiz Game
ausweisapp2,com.governikus.ausweisapp2.desktop,AusweisApp2,Authentication App
auto-multiple-choice,net.auto_multiple_choice.amc.desktop,Auto Multiple Choice,Auto Multiple Choice
autokey-gtk,autokey-gtk.desktop,AutoKey,Keyboard Automation
autokey-qt,autokey-qt.desktop,AutoKey (Qt),Keyboard Automation
autorenamer,autorenamer.desktop,AutoRenamer,Reorder files by renaming
avahi-discover,avahi-discover.desktop,Avahi Zeroconf Browser,
avahi-ui-utils,bssh.desktop,Avahi SSH Server Browser,
avahi-ui-utils,bvnc.desktop,Avahi VNC Server Browser,
avogadro,avogadro2.desktop,Avogadro2,
ayatana-settings,ayatana-settings.desktop,Indicators,
ayatana-webmail,ayatana-webmail.desktop,Ayatana Webmail,
backintime-qt,backintime-qt-root.desktop,Back In Time (root),Backup
backintime-qt,backintime-qt.desktop,Back In Time,Backup
bacula-console-qt,bat.desktop,Bacula Administration Tool,
bacula-tray-monitor,bacula-tray-monitor.desktop,Bacula Monitor,
ballerburg,ballerburg.desktop,Ballerburg,
ballview,ballview.desktop,BALLView,Molecular modeling and visualization tool
ballz,ballz.desktop,B.A.L.L.Z.,
balsa,balsa-mailto-handler.desktop,Balsa,Mail Client
balsa,org.desktop.Balsa.desktop,Balsa,Mail Client
bambam,bambam.desktop,BamBam,
baobab,org.gnome.baobab.desktop,Disk Usage Analyzer,
barrage,barrage.desktop,Barrage,
barrier,barrier.desktop,Barrier,
basex,basexgui.desktop,BaseX XML Database,
basic256,basic256.desktop,BASIC-256,
basilisk2,basilisk2.desktop,BasiliskII,Macintosh Emulator
basket,basket.desktop,BasKet Note Pads,Multi-Purpose Notepad
bastet,bastet.desktop,Bastard Tetris,bastet
batmon.app,batmon.desktop,Battery Monitor (batmon),
battery-stats,battery-stats-graph.desktop,Battery Level Graph,
battery-stats,battery-stats.desktop,Battery Charge Graph,
bb,bb.desktop,BB,
bbpager,net.sourceforge.bbpager.desktop,bbpager,
bdbvu,bdbvu.desktop,BDBVu,
beads,beads.desktop,Beads,
bear-factory,bf-animation-editor.desktop,Bear Factory — Animation Editor,
bear-factory,bf-level-editor.desktop,Bear Factory — Level Editor,
bear-factory,bf-model-editor.desktop,Bear Factory — Model Editor,
beneath-a-steel-sky,beneath-a-steel-sky.desktop,Beneath A Steel Sky,Game
berusky,berusky.desktop,Berusky,
berusky2,berusky2.desktop,Berusky2,
betaradio,betaradio.desktop,BetaRadio Tuner,
between,between.desktop,Between,Consciousness and isolation game
bibledit,bibledit.desktop,Bibledit,
bibletime,info.bibletime.BibleTime.desktop,BibleTime,Bible Study Tool
biglybt,biglybt.desktop,BiglyBT,BitTorrent Client
bijiben,org.gnome.Notes.desktop,Notes,Note-taker
billard-gl,billard-gl.desktop,Billard-GL,billard-gl
biloba,biloba.desktop,Biloba,Board Game
biniax2,biniax2.desktop,Biniax-2,
bino,bino.desktop,Bino,3D video player
biogenesis,biogenesis.desktop,Biogenesis,Biogenesis
birdfont,birdfont.desktop,Birdfont,Font Editor
birdtray,com.ulduzsoft.Birdtray.desktop,Birdtray,
bitmeter,bitmeter.desktop,Bitmeter,
bitstormlite,bitstormlite.desktop,BitStormLite,
black-box,black-box.desktop,Black-Box,Laser puzzle
blastem,blastem.desktop,BlastEm,
bleachbit,bleachbit-root.desktop,BleachBit (as root),Unnecessary file cleaner
bleachbit,org.bleachbit.BleachBit.desktop,BleachBit,Unnecessary file cleaner
blender,blender.desktop,Blender,3D modeler
bless,bless.desktop,Bless Hex Editor,Hex Editor
blinken,org.kde.blinken.desktop,Blinken,Memory Enhancement Game
blobandconquer,blobAndConquer.desktop,Blob Wars : Blob And Conquer,Game
blobby,blobby.desktop,Blobby Volley 2,Volleyball Game
bloboats,bloboats.desktop,Bloboats,
blobwars,blobwars.desktop,Blob Wars : Metal Blob Solid,
blockattack,blockattack.desktop,Block Attack - Rise of the Blocks,Block Attack
blockout2,blockout2.desktop,BlockOut II,
blocks-of-the-undead,blocks-of-the-undead.desktop,Blocks Of The Undead,
bluedevil,org.kde.bluedevilsendfile.desktop,BlueDevil Send File,BlueDevil Send File
bluedevil,org.kde.bluedevilwizard.desktop,BlueDevil Wizard,BlueDevil Wizard
bluefish,bluefish.desktop,Bluefish Editor,
blueman,blueman-adapters.desktop,Bluetooth Adaptors,
blueman,blueman-manager.desktop,Bluetooth Manager,
boats,boats.desktop,Boat Scenario,
boinc-manager,boinc-manager.desktop,BOINC Manager,BOINC monitor and control utility
bomber,org.kde.bomber.desktop,Bomber,Arcade Bombing Game
bomberclone,bomberclone.desktop,Bomberclone,
bookletimposer,bookletimposer.desktop,bookletimposer,
bookworm,com.github.babluboy.bookworm.desktop,Bookworm,eBook Reader
boomaga,boomaga.desktop,Boomaga,Virtual printer
bossa,bossa.desktop,BOSSA,
boswars,boswars.desktop,Bos Wars,boswars
bouncy,bouncy.desktop,Bouncy the Hungry Rabbit,bouncy
bovo,org.kde.bovo.desktop,Bovo,Five-in-a-row Board Game
bpython,org.bpython-interpreter.bpython.desktop,bpython,
brainparty,brainparty.desktop,Brain Party,Brain Party
brasero,brasero-nautilus.desktop,CD/DVD Creator,
brasero,brasero.desktop,Brasero,Disc Burner and Copier
brewtarget,brewtarget.desktop,Brewtarget,Beer calculator
briquolo,briquolo.desktop,Briquolo,BreakOut
brp-pacu,brp-pacu.desktop,Brp-pacu,Brp-pacu
brutalchess,brutalchess.desktop,Brutal Chess,
btanks,btanks.desktop,Battle Tanks,
budgie-core,budgie-daemon.desktop,Budgie Background Services,
budgie-core,budgie-desktop-settings.desktop,Budgie Desktop Settings,
budgie-core,budgie-panel.desktop,Budgie Panel,
budgie-core,budgie-polkit.desktop,Budgie PolicyKit UI,
budgie-core,budgie-wm.desktop,Budgie Window Manager,
budgie-desktop-view,us.getsol.budgie-desktop-view.desktop,Budgie Desktop View,
budgie-previews,previewscontrols.desktop,Previews Control,
