Section,Subsection,Name,Verdict,Score,Cost (MiB),Rank,Description
games,PrisonPC,fillets-ng-data-nl,TODO,2908832,32,90901,add-on sounds for Dutch language spoken dialogs for fillets-ng
games,PrisonPC,flare,TODO,1002353,11,91123,Meta package to deal with package name changes in Flare 0.19
games,PrisonPC,flare-engine,TODO,218889,11,19899,game engine for single-player 2D action role-playing games
games,PrisonPC,flightgear-data-ai,FAIL,4557840,280,16278,FlightGear Flight Simulator -- standard AI data
games,PrisonPC,flightgear-data-all,FAIL,27674300,1700,16279,FlightGear Flight Simulator - virtual package
games,PrisonPC,flightgear-data-base,FAIL,118535300,1300,91181,FlightGear Flight Simulator -- base files
games,PrisonPC,flightgear-data-models,FAIL,12765480,140,91182,FlightGear Flight Simulator -- standard models
games,PrisonPC,fltk1.1-games,TODO,59576,1,59576,"Fast Light Toolkit - example games: checkers, sudoku"
games,PrisonPC,freeciv-client-extras,TODO,486320,20,24316,Civilization turn based strategy game (miscellaneous extras)
games,PrisonPC,freeciv-client-gtk,TODO,868868,28,31031,Civilization turn based strategy game (GTK 2 client transitional package)
games,PrisonPC,freeciv-client-gtk3,TODO,396032,28,14144,Civilization turn based strategy game (GTK 3 client)
games,PrisonPC,freeciv-client-qt,TODO,732144,28,26148,Civilization turn based strategy game (Qt client)
games,PrisonPC,freeciv-client-sdl,TODO,3420819,93,36783,Civilization turn based strategy game (SDL client)
games,PrisonPC,freeciv-ruleset-tools,TODO,183976,2,91988,Civilization turn based strategy game (ruleset tools)
games,PrisonPC,freedink-dfarc,TODO,156894,6,26149,frontend and .dmod installer for GNU FreeDink
games,PrisonPC,freedink-engine,TODO,1402680,60,23378,humorous top-down adventure and role-playing game (engine)
games,PrisonPC,freespace2-launcher-wxlauncher,TODO,294288,8,36786,launcher for the Freespace 2 Source Code Project
games,PrisonPC,fretsonfire-songs-muldjord,TODO,2587060,28,92395,game of musical skill and fast fingers - Songs Package
games,PrisonPC,fretsonfire-songs-sectoid,TODO,2587088,28,92396,game of musical skill and fast fingers - Songs Package
games,PrisonPC,frogatto,TODO,6396760,230,27812,2D platformer game starring a quixotic frog
games,PrisonPC,gamehub,TODO,628308,36,17453,Unified library for games from multiple sources
games,PrisonPC,gamescope,TODO,64604,4,16151,Micro-compositor for game scaling
games,PrisonPC,gav-themes,TODO,93241,1,93241,Extra themes for GPL Arcade Volleyball
games,PrisonPC,gearhead-sdl,TODO,184155,5,36831,"roguelike mecha role playing game, SDL version"
games,PrisonPC,gearhead2-sdl,TODO,357995,11,32545,roguelike mecha role playing game in space
games,PrisonPC,gemrb,TODO,600490,10,60049,"Open-source engine to run Baldur's Gate, Icewind Dale and Planescape: Torment"
games,PrisonPC,gemrb-baldurs-gate,TODO,943500,10,94350,GemRB binary and configuration for Baldur's Gate game
games,PrisonPC,gemrb-baldurs-gate-2,TODO,943510,10,94351,GemRB binary and configuration for Baldur's Gate 2 game
games,PrisonPC,gemrb-icewind-dale,TODO,943550,10,94355,GemRB binary and configuration for Icewind Dale game
games,PrisonPC,gemrb-icewind-dale-2,TODO,943560,10,94356,GemRB binary and configuration for Icewind Dale 2 game
games,PrisonPC,gemrb-planescape-torment,TODO,600510,10,60051,GemRB binary and configuration for Planescape: Torment game
games,PrisonPC,glhack,TODO,86283,3,28761,Fullscreen SDL/OpenGL version of NetHack
games,PrisonPC,gnome-breakout,TODO,26995,1,26995,"Clone of the classic game Breakout, written for GNOME"
games,PrisonPC,gnome-crosswords,TODO,,16,,crossword player and editor for GNOME
games,PrisonPC,gnome-games-app,TODO,130308,6,21718,Game browser and launcher for GNOME
games,PrisonPC,gnome-mastermind,TODO,22521,1,22521,Mastermind™ clone for GNOME
games,PrisonPC,gnuboy-sdl,TODO,49263,1,49263,SDL binaries for gnuboy - Game Boy Emulator
games,PrisonPC,gnuboy-x,TODO,49264,1,49264,X binaries for gnuboy - Game Boy Emulator
games,PrisonPC,golly,TODO,229446,9,25494,Game of Life simulator using hashlife algorithm
games,PrisonPC,goverlay,TODO,120050,7,17150,Graphical UI to help manage Vulkan / OpenGL overlays
games,PrisonPC,heroes-sound-effects,TODO,99577,1,99577,Optional sound files for heroes
games,PrisonPC,heroes-sound-tracks,TODO,99578,1,99578,Optional sound files for heroes
games,PrisonPC,holotz-castle-editor,TODO,476856,12,39738,platform game with high doses of mystery - level editor
games,PrisonPC,hyperrogue-music,TODO,6128792,61,100472,in-game music for hyperrogue
games,PrisonPC,ioquake3,TODO,55348,4,13837,Game engine for 3D first person shooter games
games,PrisonPC,kcheckers,TODO,31191,1,31191,Checkers boardgame
games,PrisonPC,kodi-game-libretro-bsnes-mercury-accuracy,TODO,25429200,240,105955,Kodi integration for bsnes-mercury accuracy core
games,PrisonPC,kodi-game-libretro-bsnes-mercury-balanced,TODO,25429440,240,105956,Kodi integration for bsnes-mercury balanced core
games,PrisonPC,kodi-game-libretro-bsnes-mercury-performance,TODO,25429680,240,105957,Kodi integration for bsnes-mercury performance core
games,PrisonPC,lgc-pg,TODO,59860,2,29930,LGeneral converter for Panzer General game data
games,PrisonPC,libgemrb,TODO,632380,10,63238,Shared libraries and plugins for GemRB
games,PrisonPC,libipuz-1,TODO,,1,,FIXME
games,PrisonPC,libretro-beetle-pce-fast,TODO,25626820,190,134878,Libretro wrapper for the Beetle PCE FAST core
games,PrisonPC,libretro-beetle-psx,TODO,25627010,190,134879,Libretro wrapper for the Beetle PSX core
games,PrisonPC,libretro-beetle-vb,TODO,25627200,190,134880,Libretro wrapper for the Beetle VB core
games,PrisonPC,libretro-beetle-wswan,TODO,25627390,190,134881,Libretro wrapper for the Beetle WSWAN core
games,PrisonPC,libretro-bsnes-mercury-accuracy,TODO,25627580,190,134882,Libretro wrapper for bsnes-mercury accuracy core
games,PrisonPC,libretro-bsnes-mercury-balanced,TODO,25627770,190,134883,Libretro wrapper for bsnes-mercury balanced core
games,PrisonPC,libretro-bsnes-mercury-performance,TODO,25627960,190,134884,Libretro wrapper for bsnes-mercury performance core
games,PrisonPC,libretro-desmume,TODO,25628150,190,134885,Libretro wrapper for DeSmuME
games,PrisonPC,libretro-gambatte,TODO,25628340,190,134886,Libretro wrapper for Gambatte
games,PrisonPC,libretro-genesisplusgx,TODO,12451840,190,65536,Libretro wrapper for Genesis Plus GX
games,PrisonPC,libretro-mgba,TODO,25629290,190,134891,Libretro wrapper for mGBA
games,PrisonPC,libretro-nestopia,TODO,25629670,190,134893,libretro wrapper for Nestopia
games,PrisonPC,libretro-snes9x,TODO,25630240,190,134896,Libretro wrapper for Snes9x
games,PrisonPC,littlewizard,TODO,33356,1,33356,development environment for children
games,PrisonPC,luola-levels,TODO,60628,2,30314,level files for luola
games,PrisonPC,luola-nostalgy,TODO,311546,2,155773,nostalgy level files for luola
games,PrisonPC,lutris,FAIL,,ERROR,6211,video game preservation platform
games,PrisonPC,mame-extra,TODO,13897261,89,156149,Additional files for the Multiple Arcade Machine Emulator (MAME)
games,PrisonPC,marathon-trilogy,TODO,,180,,sci-fi fps series
games,PrisonPC,mednafen,TODO,92771,7,13253,"multi-platform emulator, including NES, GB/A, Lynx, PC Engine"
games,PrisonPC,mess-desktop-entries,TODO,12875230,82,157015,Desktop entries for MESS ROMs
games,PrisonPC,mgba-qt,TODO,415023,21,19763,Game Boy Advance emulator (Qt frontend for mGBA)
games,PrisonPC,minetest-mod-3d-armor,TODO,1418076,9,157564,Modpack to add armor and wielded weapons for Minetest
games,PrisonPC,minetest-mod-advmarkers-csm,TODO,1418085,9,157565,Minetest mod - marker/waypoint CSM for Minetest
games,PrisonPC,minetest-mod-basic-materials,TODO,1418121,9,157569,Minetest mod providing basic materials and items
games,PrisonPC,minetest-mod-basic-robot-csm,TODO,1418130,9,157570,Minetest mod - basic robot client side mod
games,PrisonPC,minetest-mod-character-creator,TODO,1418139,9,157571,Minetest module to customize your skin
games,PrisonPC,minetest-mod-craftguide,TODO,1418157,9,157573,Minetest mod providing a crafting guide
games,PrisonPC,minetest-mod-currency,TODO,1418166,9,157574,Minetest mod providing shops and currency
games,PrisonPC,minetest-mod-ethereal,TODO,1418175,9,157575,Minetest module to add a map generator enhancer
games,PrisonPC,minetest-mod-homedecor,TODO,1733336,11,157576,Minetest mod pack providing home decor elements
games,PrisonPC,minetest-mod-infinite-chest,TODO,1418193,9,157577,Minetest module to get chests with an infinite number of slots
games,PrisonPC,minetest-mod-lucky-block,TODO,1418211,9,157579,Minetest module to add a Lucky Block to the game
games,PrisonPC,minetest-mod-maidroid,TODO,1418220,9,157580,Minetest mod - Maidroid for maid robots
games,PrisonPC,minetest-mod-mesecons,TODO,1890972,12,157581,Digital circuitry blocks for minetest
games,PrisonPC,minetest-mod-meshport,TODO,1418238,9,157582,Minetest mod - export areas to meshes for 3D rendering
games,PrisonPC,minetest-mod-mobs-redo,TODO,1418274,9,157586,Minetest module to add mobs programming interface
games,PrisonPC,minetest-mod-moreblocks,TODO,1418283,9,157587,Minetest mod - More Blocks
games,PrisonPC,minetest-mod-moreores,TODO,1418292,9,157588,Minetest mod - More Ores
games,PrisonPC,minetest-mod-nether,TODO,1418301,9,157589,Minetest mod - Nether portals and materials
games,PrisonPC,minetest-mod-pipeworks,TODO,1418310,9,157590,Pipes and tubes for Minetest
games,PrisonPC,minetest-mod-protector,TODO,1418328,9,157592,Minetest module to add protector blocks
games,PrisonPC,minetest-mod-pycraft,TODO,1418337,9,157593,Minetest mod - (most of) Raspberry PI Minecraft API
games,PrisonPC,minetest-mod-quartz,TODO,1418346,9,157594,Minetest module to add quartz
games,PrisonPC,minetest-mod-skyblock,TODO,1418355,9,157595,Minetest module to add a Crusoe-like minigame
games,PrisonPC,minetest-mod-throwing,TODO,1418364,9,157596,Minetest mod - Throwing system
games,PrisonPC,minetest-mod-throwing-arrows,TODO,1418373,9,157597,Minetest mod - Throwables
games,PrisonPC,minetest-mod-unified-inventory,TODO,1418391,9,157599,Minetest module to enhance the inventory
games,PrisonPC,minetest-mod-unifieddyes,TODO,1418400,9,157600,Minetest mod providing a unified dye specification
games,PrisonPC,minetest-mod-worldedit,TODO,1418409,9,157601,Minetest mod - ingame world editor
games,PrisonPC,minetest-mod-xdecor,TODO,1418418,9,157602,Lightweight decoration module for minetest
games,PrisonPC,minetestmapper,TODO,58470,2,29235,map generator from minetest worlds
games,PrisonPC,mupen64plus-audio-sdl,FAIL,,ERROR,19551,sdl audio output plugin for mupen64plus
games,PrisonPC,mupen64plus-input-sdl,FAIL,,ERROR,19307,sdl input device plugin for mupen64plus
games,PrisonPC,mupen64plus-qt,FAIL,,ERROR,21862,customizable launcher for Mupen64Plus
games,PrisonPC,mupen64plus-rsp-hle,FAIL,,ERROR,19309,high-level rsp emulation for mupen64plus
games,PrisonPC,mupen64plus-rsp-z64,FAIL,,ERROR,158836,low-level rsp emulation for mupen64plus
games,PrisonPC,mupen64plus-video-arachnoid,FAIL,,ERROR,158837,Arachnoid high-level graphics emulation for mupen64plus
games,PrisonPC,mupen64plus-video-glide64,FAIL,,ERROR,158838,Glide64 high-level graphics emulation for mupen64plus
games,PrisonPC,mupen64plus-video-glide64mk2,FAIL,,ERROR,19088,Glide64Mk2 high-level graphics emulation for mupen64plus
games,PrisonPC,mupen64plus-video-rice,FAIL,,ERROR,19089,Rice's high-level graphics emulation for mupen64plus
games,PrisonPC,mupen64plus-video-z64,FAIL,,ERROR,158841,low-level rdp emulation for mupen64plus
games,PrisonPC,nbsdgames,TODO,41387,1,41387,text based mini games for your terminal
games,PrisonPC,nethack-qt,TODO,100290,3,33430,dungeon crawl game - Qt interface
games,PrisonPC,nexuiz-music,TODO,12982437,81,160277,Nexuiz music files
games,PrisonPC,nexuiz-textures,TODO,9985800,440,22695,Textures for Nexuiz
games,PrisonPC,openarena-081-maps,TODO,522522,39,13398,OpenArena game data - maps from 0.8.1
games,PrisonPC,openarena-081-misc,TODO,361773,27,13399,OpenArena game data - miscellaneous files from 0.8.1
games,PrisonPC,openarena-081-players,TODO,964800,72,13400,OpenArena game data - player graphics from 0.8.1
games,PrisonPC,openarena-081-players-mature,TODO,348426,26,13401,"OpenArena game data - ""mature"" player graphics from 0.8.1"
games,PrisonPC,openarena-081-textures,TODO,1206180,90,13402,OpenArena game data - textures from 0.8.1
games,PrisonPC,openarena-oacmp1,TODO,1927200,110,17520,OpenArena Community Map Pack 1
games,PrisonPC,openjazz,TODO,106338,2,53169,Jazz Jackrabbit™ game engine reimplementation
games,PrisonPC,openmw-launcher,TODO,1016928,48,21186,Launcher for OpenMW using the Qt-Gui-Toolkit
games,PrisonPC,openrct2,TODO,602566,19,31714,Open-source re-implementation of RollerCoaster Tycoon 2
games,PrisonPC,openrct2-objects,TODO,95148,3,31716,Object definitions for OpenRCT2
games,PrisonPC,openrct2-title-sequences,TODO,253736,8,31717,Title sequences for OpenRCT2
games,PrisonPC,openttd-opengfx,TODO,495171,3,165057,free graphics set for use with the OpenTTD game
games,PrisonPC,openttd-openmsx,TODO,165058,1,165058,free music set for use with the OpenTTD game
games,PrisonPC,openttd-opensfx,TODO,1650590,10,165059,sound set for use with the OpenTTD game
games,PrisonPC,opentyrian,TODO,158595,5,31719,open-source port of the DOS shoot-em-up Tyrian
games,PrisonPC,out-of-order,TODO,402384,12,33532,comedy science fiction adventure game
games,PrisonPC,parolottero-data-it,TODO,995652,6,165942,"Compose words using a 4x4 grid of letters, Italian game files"
games,PrisonPC,parolottero-data-sv,TODO,319764,6,53294,"Compose words using a 4x4 grid of letters, Swedish game files"
games,PrisonPC,parolottero-data-us,TODO,266475,5,53295,"Compose words using a 4x4 grid of letters, US English game files"
games,PrisonPC,performous-tools,TODO,3826142,23,166354,karaoke game that allows user supplied songs - tools
games,PrisonPC,pioneers-metaserver,TODO,25823,1,25823,Settlers of Catan board game - metaserver
games,PrisonPC,planetblupi-music-midi,TODO,3196009,19,168211,Planet Blupi - A delirious spell-binding game - MIDI music
games,PrisonPC,planetblupi-music-ogg,TODO,1844226,58,31797,Planet Blupi - A delirious spell-binding game - Ogg music
games,PrisonPC,pokemmo-installer,TODO,5729211,81,70731,Installer and Launcher for the PokeMMO emulator
games,PrisonPC,powder,TODO,76642,2,38321,Graphical dungeon crawling game
games,PrisonPC,prboom-plus,TODO,162260,10,16226,transitional dummy package (prboom-plus -> dsda-doom)
games,PrisonPC,prisonpc-openttd-extras,TODO,,170,,OpenTTD (Transport Tycoon Deluxe) extra plugins
games,PrisonPC,prisonpc-warzone2100-addons,TODO,,ERROR,,Warzone2100 addons
games,PrisonPC,prisonpc-wesnoth-addons,TODO,,ERROR,,Wesnoth addons
games,PrisonPC,pybik-bin,TODO,27429,1,27429,Rubik's cube game - architecture dependent files
games,PrisonPC,quake,TODO,355827,17,20931,classic gothic/horror-themed first person shooter
games,PrisonPC,quake2,TODO,387175,17,22775,classic science-fiction-themed first person shooter
games,PrisonPC,quake3,TODO,382500,18,21250,Quake III Arena menu entry and launcher scripts
games,PrisonPC,reminiscence,TODO,146128,2,73064,free implementation of Flashback game engine
games,PrisonPC,renpy,TODO,796095,27,29485,framework for developing visual-novel type games
games,PrisonPC,renpy-demo,TODO,3799744,52,73072,framework for developing visual-novel type games - demo
games,PrisonPC,rocksndiamonds,FAIL,,ERROR,30635,arcade-style game
games,PrisonPC,rott,TODO,546320,10,54632,SDL-Port of Rise of the Triad
games,PrisonPC,rtcw,TODO,660044,14,47146,game engine for Return to Castle Wolfenstein
games,PrisonPC,runescape,FAIL,,ERROR,38773,Multiplayer online game set in a fantasy world
games,PrisonPC,sauerbraten,TODO,20220750,950,21285,3D first-person shooter game
games,PrisonPC,simutrans-makeobj,TODO,182625,1,182625,data file compiler for Simutrans
games,PrisonPC,simutrans-pak64,TODO,547881,3,182627,transportation simulator (data files)
games,PrisonPC,singularity-music,TODO,9132150,50,182643,Music for Endgame: Singularity game
games,PrisonPC,slashem-gtk,TODO,108261,3,36087,variant of Nethack (Gtk window port)
games,PrisonPC,slashem-sdl,TODO,155220,4,38805,variant of Nethack (SDL window port)
games,PrisonPC,slashem-x11,TODO,72176,2,36088,variant of Nethack (X11 window port)
games,PrisonPC,sm,TODO,20651,1,20651,Displays a short text fullscreen
games,PrisonPC,spring-javaai,TODO,3356037,61,55017,modern full-3D RTS game engine (Java AIs)
games,PrisonPC,steam-installer,FAIL,,ERROR,4467,Valve's Steam digital software delivery system
games,PrisonPC,tome,TODO,116805,3,38935,single-player text-based roguelike dungeon simulation game
games,PrisonPC,tty-solitaire,TODO,38950,1,38950,ncurses-based klondike solitaire game
games,PrisonPC,ufoai-maps,TODO,8133340,370,21982,UFO: Alien Invasion -- maps
games,PrisonPC,ufoai-misc,TODO,71130,3,23710,UFO: Alien Invasion -- miscellaneous files and documentation
games,PrisonPC,ufoai-music,TODO,39373740,210,187494,UFO: Alien Invasion -- music files
games,PrisonPC,ufoai-sound,TODO,426798,18,23711,UFO: Alien Invasion -- sound files
games,PrisonPC,ufoai-textures,TODO,7824960,330,23712,UFO: Alien Invasion -- textures
games,PrisonPC,uhexen2,TODO,108768,3,36256,Hexen II - engine package
games,PrisonPC,uqm,TODO,510276,12,42523,The Ur-Quan Masters - An inter-galactic adventure game
games,PrisonPC,uqm-content,TODO,2255676,12,187973,The Ur-Quan Masters - Game data files
games,PrisonPC,uqm-music,TODO,5639340,30,187978,The Ur-Quan Masters - Game music files
games,PrisonPC,uqm-russian,TODO,2443727,13,187979,Russian addon for 'The Ur-Quan Masters' game
games,PrisonPC,uqm-voice,TODO,22557600,120,187980,The Ur-Quan Masters - Voice files
games,PrisonPC,vcmi,TODO,510540,15,34036,Rewrite of the Heroes of Might and Magic 3 game engine
games,PrisonPC,warzone2100-music,TODO,15523010,82,189305,official music for warzone2100
games,PrisonPC,wesnoth-1.16,TODO,55032430,290,189767,fantasy turn-based strategy game - complete suite (branch 1.16)
games,PrisonPC,wesnoth-1.16-core,TODO,2353600,160,14710,fantasy turn-based strategy game (branch 1.16)
games,PrisonPC,wesnoth-1.16-did,TODO,32260560,170,189768,"""Descent Into Darkness"" official campaign for Wesnoth (branch 1.16)"
games,PrisonPC,wesnoth-1.16-dm,TODO,32260730,170,189769,"""Delfador's Memoirs"" official campaign for Wesnoth (branch 1.16)"
games,PrisonPC,wesnoth-1.16-dw,TODO,32260900,170,189770,"""Dead Water"" official campaign for Wesnoth (branch 1.16)"
games,PrisonPC,wesnoth-1.16-ei,TODO,32261070,170,189771,"""The Eastern Invasion"" official campaign for Wesnoth (branch 1.16)"
games,PrisonPC,wesnoth-1.16-httt,TODO,32261240,170,189772,"""Heir to the Throne"" official campaign for Wesnoth (branch 1.16)"
games,PrisonPC,wesnoth-1.16-l,TODO,32261410,170,189773,"""Liberty"" official campaign for Wesnoth (branch 1.16)"
games,PrisonPC,wesnoth-1.16-low,TODO,32261580,170,189774,"""Legend of Wesmere"" official campaign for Wesnoth (branch 1.16)"
games,PrisonPC,wesnoth-1.16-music,TODO,28466250,150,189775,music files for Wesnoth (branch 1.16)
games,PrisonPC,wesnoth-1.16-nr,TODO,32261920,170,189776,"""Northern Rebirth"" official campaign for Wesnoth (branch 1.16)"
games,PrisonPC,wesnoth-1.16-sof,TODO,32262090,170,189777,"""The Sceptre of Fire"" official campaign for Wesnoth (branch 1.16)"
games,PrisonPC,wesnoth-1.16-sota,TODO,32262260,170,189778,"""Secrets of the Ancients"" official campaign for Wesnoth (branch 1.16)"
games,PrisonPC,wesnoth-1.16-sotbe,TODO,32262430,170,189779,"""Son of the Black-Eye"" official campaign for Wesnoth (branch 1.16)"
games,PrisonPC,wesnoth-1.16-thot,TODO,32262600,170,189780,"""The Hammer of Thursagan"" official campaign for Wesnoth (branch 1.16)"
games,PrisonPC,wesnoth-1.16-tools,TODO,28467150,150,189781,tools for campaign developers for Wesnoth (branch 1.16)
games,PrisonPC,wesnoth-1.16-trow,TODO,34160760,180,189782,"""The Rise of Wesnoth"" official campaign for Wesnoth (branch 1.16)"
games,PrisonPC,wesnoth-1.16-tsg,TODO,32263110,170,189783,"""The South Guard"" official campaign for Wesnoth (branch 1.16)"
games,PrisonPC,wesnoth-1.16-ttb,TODO,32263280,170,189784,"""A Tale of Two Brothers"" official campaign for Wesnoth (branch 1.16)"
games,PrisonPC,wesnoth-1.16-utbs,TODO,32263450,170,189785,"""Under the Burning Suns"" official campaign for Wesnoth (branch 1.16)"
games,PrisonPC,wesnoth-core,TODO,30368960,160,189806,fantasy turn-based strategy game (metapackage)
games,PrisonPC,wesnoth-music,TODO,55044320,290,189808,music files for Wesnoth (metapackage)
games,PrisonPC,wmpuzzle,TODO,190441,1,190441,WindowMaker dock app 4x4 puzzle
games,PrisonPC,wolf4sdl,TODO,321750,10,32175,SDL-Port of Wolfenstein 3-D and Spear of Destiny
games,PrisonPC,wordwarvi-sound,TODO,351360,9,39040,retro-styled side-scrolling shoot'em up arcade game [Sound Files]
games,PrisonPC,xabacus,TODO,55666,1,55666,simulation of the ancient calculator (plain X version)
games,PrisonPC,xblast-tnt-images,TODO,39051,1,39051,image files for xblast-tnt
games,PrisonPC,xblast-tnt-levels,TODO,190725,1,190725,level files for xblast-tnt
games,PrisonPC,xblast-tnt-models,TODO,78104,2,39052,player models for xblast-tnt
games,PrisonPC,xblast-tnt-musics,TODO,953635,5,190727,music files for xblast-tnt
games,PrisonPC,xblast-tnt-sounds,TODO,381456,2,190728,sound files for xblast-tnt
games,PrisonPC,xjokes,TODO,42611,1,42611,X11 jokes
games,PrisonPC,xpuzzles,TODO,47716,1,47716,collection of puzzles for X (plain X version)
games,PrisonPC,xqf,TODO,42627,1,42627,X-based Quake Server Browser
games,PrisonPC,xscreensaver-screensaver-dizzy,TODO,342456,12,28538,Graphics demo that makes you dizzy (XScreenSaver hack)
games,PrisonPC,yamagi-quake2,TODO,64941,3,21647,enhanced version of id Software's Quake II - client
games,PrisonPC,zangband,TODO,85314,2,42657,"A single-player, text-based, roguelike game"
