POLICY,TYPE,PACKAGE,PATH,NOTES
SHOULD NOT,server,firmware-netronome,"/lib/firmware/netronome/flower/nic_AMDA0058-0012_8x10.nffw",
SHOULD NOT,server,firmware-netronome,"/lib/firmware/netronome/flower/nic_AMDA0058.nffw",
SHOULD NOT,server,firmware-netronome,"/lib/firmware/netronome/flower/nic_AMDA0078-0011_1x100.nffw",
SHOULD NOT,server,firmware-netronome,"/lib/firmware/netronome/flower/nic_AMDA0078-0011_2x40.nffw",
SHOULD NOT,server,firmware-netronome,"/lib/firmware/netronome/flower/nic_AMDA0078-0011_4x10_1x40.nffw",
SHOULD NOT,server,firmware-netronome,"/lib/firmware/netronome/flower/nic_AMDA0078-0011_8x10.nffw",
SHOULD NOT,server,firmware-netronome,"/lib/firmware/netronome/flower/nic_AMDA0078-0012_1x100.nffw",
SHOULD NOT,server,firmware-netronome,"/lib/firmware/netronome/flower/nic_AMDA0078-0012_2x40.nffw",
SHOULD NOT,server,firmware-netronome,"/lib/firmware/netronome/flower/nic_AMDA0078-0012_4x10_1x40.nffw",
SHOULD NOT,server,firmware-netronome,"/lib/firmware/netronome/flower/nic_AMDA0078-0012_8x10.nffw",
SHOULD NOT,server,firmware-netronome,"/lib/firmware/netronome/flower/nic_AMDA0081-0001_1x40.nffw",
SHOULD NOT,server,firmware-netronome,"/lib/firmware/netronome/flower/nic_AMDA0081-0001_4x10.nffw",
SHOULD NOT,server,firmware-netronome,"/lib/firmware/netronome/flower/nic_AMDA0081.nffw",
SHOULD NOT,server,firmware-netronome,"/lib/firmware/netronome/flower/nic_AMDA0096-0001_2x10.nffw",
SHOULD NOT,server,firmware-netronome,"/lib/firmware/netronome/flower/nic_AMDA0096.nffw",
SHOULD NOT,server,firmware-netronome,"/lib/firmware/netronome/flower/nic_AMDA0097-0001_2x40.nffw",
SHOULD NOT,server,firmware-netronome,"/lib/firmware/netronome/flower/nic_AMDA0097-0001_4x10_1x40.nffw",
SHOULD NOT,server,firmware-netronome,"/lib/firmware/netronome/flower/nic_AMDA0097-0001_8x10.nffw",
SHOULD NOT,server,firmware-netronome,"/lib/firmware/netronome/flower/nic_AMDA0097.nffw",
SHOULD NOT,server,firmware-netronome,"/lib/firmware/netronome/flower/nic_AMDA0099-0001_1x10_1x25.nffw",
SHOULD NOT,server,firmware-netronome,"/lib/firmware/netronome/flower/nic_AMDA0099-0001_2x10.nffw",
SHOULD NOT,server,firmware-netronome,"/lib/firmware/netronome/flower/nic_AMDA0099-0001_2x25.nffw",
SHOULD NOT,server,firmware-netronome,"/lib/firmware/netronome/flower/nic_AMDA0099.nffw",
SHOULD NOT,server,firmware-netronome,"/lib/firmware/netronome/nic-sriov/nic_AMDA0058-0011_2x40.nffw",
SHOULD NOT,server,firmware-netronome,"/lib/firmware/netronome/nic-sriov/nic_AMDA0058-0012_2x40.nffw",
SHOULD NOT,server,firmware-netronome,"/lib/firmware/netronome/nic-sriov/nic_AMDA0078-0011_1x100.nffw",
SHOULD NOT,server,firmware-netronome,"/lib/firmware/netronome/nic-sriov/nic_AMDA0081-0001_1x40.nffw",
SHOULD NOT,server,firmware-netronome,"/lib/firmware/netronome/nic-sriov/nic_AMDA0081-0001_4x10.nffw",
SHOULD NOT,server,firmware-netronome,"/lib/firmware/netronome/nic-sriov/nic_AMDA0096-0001_2x10.nffw",
SHOULD NOT,server,firmware-netronome,"/lib/firmware/netronome/nic-sriov/nic_AMDA0097-0001_2x40.nffw",
SHOULD NOT,server,firmware-netronome,"/lib/firmware/netronome/nic-sriov/nic_AMDA0097-0001_4x10_1x40.nffw",
SHOULD NOT,server,firmware-netronome,"/lib/firmware/netronome/nic-sriov/nic_AMDA0097-0001_8x10.nffw",
SHOULD NOT,server,firmware-netronome,"/lib/firmware/netronome/nic-sriov/nic_AMDA0099-0001_1x10_1x25.nffw",
SHOULD NOT,server,firmware-netronome,"/lib/firmware/netronome/nic-sriov/nic_AMDA0099-0001_2x10.nffw",
SHOULD NOT,server,firmware-netronome,"/lib/firmware/netronome/nic-sriov/nic_AMDA0099-0001_2x25.nffw",
SHOULD NOT,server,firmware-netronome,"/lib/firmware/netronome/nic/nic_AMDA0058-0011_2x40.nffw",
