  Size Package
 21MiB freeciv-server
 21MiB frozen-bubble-data
 21MiB klines
 21MiB ri-li
 21MiB caveexpress
 21MiB gbrainy
 21MiB knavalbattle
 21MiB klickety
 21MiB katomic
 21MiB lordsawar-data
 21MiB killbots
 21MiB yahtzeesharp
 21MiB pinball-table-gnu
 21MiB knetwalk
 21MiB kolf
 21MiB picmi
 21MiB pink-pony
 21MiB miceamaze
 21MiB kreversi
 21MiB freeciv-client-extras
 21MiB lix
 21MiB kmines
 21MiB kfourinline
 21MiB adonthell-data
 21MiB bomber
 21MiB ksnakeduel
 21MiB kubrick
 20MiB konquest
 20MiB freeciv-data
 20MiB kspaceduel
 20MiB pingus
 20MiB seahorse-adventures
 20MiB kblackbox
 20MiB kiriki
 20MiB kjumpingcube
 20MiB kollision
 20MiB ksquares
 20MiB bovo
 20MiB performous-tools
 20MiB tuxtype
 20MiB pathological
 19MiB pangzero
 19MiB crossfire-server
 19MiB pokerth-server
 19MiB tuxmath
 19MiB planetblupi-music-midi
 19MiB raincat
 18MiB ufoai-sound
 18MiB blobandconquer-data
 18MiB powermanga
 18MiB warzone2100-music
 18MiB mgba-qt
 18MiB funguloids
 18MiB out-of-order
 17MiB funnyboat
 17MiB xscreensaver-screensaver-dizzy
 17MiB lix-data
 17MiB dizzy
 17MiB hex-a-hop
 17MiB netpanzer
 17MiB amoebax
 17MiB pysolfc
 17MiB blinken
 17MiB tomatoes
 17MiB mgba-sdl
 16MiB noiz2sa
 16MiB mazeofgalious
 16MiB neverball-common
 16MiB pokerth-data
 16MiB pyracerz
 16MiB angrydd
 16MiB opencity
 16MiB wizznic-data
 16MiB bomberclone
 16MiB torus-trooper
 15MiB ddnet
 15MiB spring
 15MiB freetennis
 15MiB mu-cade
 15MiB springlobby
 15MiB kajongg
 15MiB jumpnbump-levels
 15MiB freedm
 15MiB minetest-mod-mesecons
 15MiB etoys
 15MiB mrrescue
 15MiB gunroar
 15MiB crossfire-maps
 15MiB pinball-table-hurd
 15MiB jumpnbump
 14MiB ddnet-server
 14MiB magicmaze
 14MiB mame-data
 14MiB titanion
 14MiB openssn
 14MiB dreamchess
 14MiB caveexpress-data
 14MiB minetest-mod-homedecor
