year of latest upload (to sid),source package (in bookworm)
2016,renattach
2016,rolldice
2016,ruby-celluloid-io
2016,ruby-googlecharts
2016,ruby-ncurses
2016,ruby-pcaprub
2016,ruby-rpam-ruby19
2016,ruby-uconv
2016,safecat
2016,setop
2016,sfst
2016,sidplay-libs
2016,simpleproxy
2016,slrnface
2016,spellcast
2016,spellcast-doc
2016,splay
2016,src2tex
2016,stun
2016,subtle
2016,sweethome3d-furniture-nonfree
2016,taningia
2016,tcludp
2016,tclvfs
2016,tktray
2016,toga2
2016,tsocks
2016,txt2pdbdoc
2016,tzc
2016,udpcast
2016,urjtag
2016,ussp-push
2016,vdesk
2016,wdq2wav
2016,webfs
2016,windowlab
2016,x2vnc
2016,xlax
2016,xpat2
2016,xserver-xorg-input-keyboard
2016,yorick-hdf5
2016,yorick-ygsl
2017,animal-sniffer
2017,apg
2017,atinject-jsr330
2017,atom4
2017,audiotools
2017,bibcursed
2017,bitmeter
2017,black-box
2017,bucklespring
2017,bulletml
2017,casacore-data-igrf
2017,cgroupfs-mount
2017,codecrypt
2017,colorhug-client
2017,colorpicker
2017,commons-math3
2017,crafty
2017,curtain
2017,cvsps
2017,cynthiune.app
2017,cytadela
2017,dbeacon
2017,dbuskit
2017,dmg2img
2017,dpkg-awk
2017,drawterm
2017,dvi2dvi
2017,eancheck
2017,endless-sky-high-dpi
2017,esix
2017,excalibur-logger
2017,fastinfoset
2017,felix-main
2017,felix-shell
2017,felix-shell-tui
2017,festlex-poslex
2017,festvox-ellpc11k
2017,festvox-kallpc16k
2017,festvox-rablpc16k
2017,festvox-suopuhe-lj
2017,festvox-suopuhe-mv
2017,figlet
2017,filters
2017,fizmo-console
2017,fizmo-ncursesw
2017,fizmo-sdl2
2017,fizsh
2017,fonts-android
2017,fonts-ipafont-nonfree
2017,fonts-ipafont-nonfree-jisx0208
2017,fonts-mikachan
2017,fprobe
2017,freehep-chartableconverter-plugin
2017,freehep-export
2017,freehep-io
2017,freehep-swing
2017,freehep-util
2017,freehep-xml
2017,freewnn
2017,fswebcam
2017,garlic-doc
2017,geronimo-jta-1.2-spec
2017,geronimo-validation-1.0-spec
2017,geronimo-validation-1.1-spec
2017,gmrun
2017,gnome-icon-theme-nuovo
2017,golang-github-dop251-goja
2017,golang-github-google-certificate-transparency
2017,golang-github-jacobsa-syncutil
2017,golang-github-nebulouslabs-fastrand
2017,golang-github-olekukonko-ts
2017,golang-github-pelletier-go-buffruneio
2017,golang-github-pkg-profile
2017,golang-github-rubyist-tracerx
2017,golang-github-tideland-golib
2017,golang-godebiancontrol-dev
2017,gperf
2017,gpsmanshp
2017,gsl-ref-html
2017,gsl-ref-psdoc
2017,gtk2-engines
2017,gtkam
2017,guetzli
2017,guidedog
2017,gworldclock
2017,httpfs2
2017,i3blocks
2017,icc-profiles
2017,injeqt
2017,ipheth
2017,ircd-ircu
2017,jabsorb
2017,jamnntpd
2017,jas-plotter
2017,jcharts
2017,jctools
2017,json-smart
2017,jtidy
2017,kgb
2017,kstars-data-extra-tycho2
2017,lacheck
2017,laptop-detect
2017,lcas-lcmaps-gt4-interface
2017,lcmaps-plugins-basic
2017,lcmaps-plugins-verify-proxy
2017,lcmaps-plugins-voms
2017,libaal
2017,libapache-mod-log-sql
2017,libapache2-mod-lookup-identity
2017,libblocksruntime
2017,libbytelist-java
2017,libclaw
2017,libconfig
2017,libdb-je-java
2017,libebook-tools-perl
2017,libgettext-commons-java
2017,libgringotts
2017,libharu
2017,libhibernate-commons-annotations-java
2017,libimglib2-java
2017,libisrt-java
2017,libjaudiotagger-java
2017,libjgroups-java
2017,libmime-util-java
2017,libnet-nessus-xmlrpc-perl
2017,libnexstar
2017,libsndifsdl2
2017,libsoil
2017,libstroke
2017,libtranscript
2017,libwiki-toolkit-plugin-ping-perl
2017,libxdmcp
2017,libxmlenc-java
2017,libxmltok
2017,libxpp2-java
2017,libzmf
2017,lierolibre
2017,llmnrd
2017,lmdbxx
2017,lua-nginx-redis-connector
2017,lv2-c++-tools
2017,maven-antrun-extended-plugin
2017,maven-file-management
2017,maven-repository-builder
2017,maven-shared-jar
2017,minisat+
2017,mockobjects
2017,mon-contrib
2017,monajat
2017,morse2ascii
2017,mousetrap
2017,msgpuck
2017,munge-maven-plugin
2017,mysql-sandbox
2017,nitrogen
2017,nload
2017,numdiff
2017,ocproxy
2017,olap4j
2017,openhft-chronicle-queue
2017,openssl-ibmca
2017,os8
2017,oscache
2017,osptoolkit
2017,pam-krb5-migrate
2017,pam-shield
2017,passage
2017,pathogen
2017,pfb2t1c2pfb
2017,picon-misc
2017,picon-news
2017,picon-unknown
2017,picon-users
2017,picon-weather
2017,pixfrogger
2017,plexus-ant-factory
2017,plexus-cli
2017,plexus-resources
2017,pnmixer
2017,primrose
2017,procserv
2017,psutils
2017,qdox
2017,qoauth
2017,quicktun
2017,rawdns
2017,resolvconf-admin
2017,restricted-ssh-commands
2017,robocut
2017,robust-http-client
2017,ruby-email-reply-parser
2017,ruby-equalizer
2017,ruby-flowdock
2017,ruby-gemojione
2017,ruby-mixlib-archive
2017,ruby-multi-xml
2017,ruby-naught
2017,ruby-omniauth-twitter
2017,ruby-powerbar
2017,ruby-rails-assets-markdown-it-sanitizer
2017,ruby-semverse
2017,rzip
2017,scim-kmfl-imengine
2017,sdcv
2017,seq24
2017,sift
2017,simplyhtml
2017,simulpic
2017,sloccount
2017,spawn-fcgi
2017,spigot
2017,spim
2017,squidview
2017,stardict-czech
2017,stardict-english-czech
2017,stardict-german-czech
2017,statnews
2017,stenc
2017,stlcmd
2017,stoken
2017,switchsh
2017,tasksh
2017,tdfsb
2017,tiny-initramfs
2017,tkhtml1
2017,tpb
2017,tpm-quote-tools
2017,traildb
2017,tse3
2017,twpsk
2017,uima-addons
2017,unace-nonfree
2017,virtualjaguar
2017,viruskiller
2017,visolate
2017,vtable-dumper
2017,w3c-markup-validator
2017,xcb-util-xrm
2017,xjump
2017,xmlbeans-maven-plugin
2017,xssproxy
2017,yasw
2017,yecht
2017,yorick-optimpack
2018,9mount
2018,9wm
2018,aclock.app
2018,activemq-activeio
2018,addresses-for-gnustep
2018,aephea
2018,amp
2018,amphetamine
2018,apparix
2018,aribb24
2018,asciijump
2018,aspell-ar
2018,aspell-ar-large
2018,aspell-fa
2018,aspell-ku
2018,asterisk-core-sounds
2018,astromenace-data
2018,asylum
2018,batmon.app
2018,beansbinding
2018,bgoffice
2018,bgoffice-computer-terms
2018,bgoffice-dict-downloader
2018,bidiv
2018,biff
2018,billard-gl
2018,bindex
2018,blocks-of-the-undead
2018,bomberclone
2018,bpm-tools
2018,bro-aux
2018,brutalchess
2018,c3p0
2018,cal
2018,camo
2018,canid
2018,caps
2018,cardo
2018,castor
2018,cbootimage
2018,cd5
2018,cenon.app
2018,chessx
2018,cil
2018,circos-tools
2018,cl-lw-compat
2018,cl-ptester
2018,cl-regex
2018,cl-rt
2018,clamz
2018,clex
2018,clfswm
2018,clirr
2018,clojure-maven-plugin
2018,clutter-gtk
2018,cobertura
2018,coccinella
2018,codegroup
2018,codenarc
2018,codesearch
2018,comparepdf
2018,complete-clojure
2018,config-package-dev
2018,cricket
2018,csladspa
2018,ctioga2
2018,cube2font
2018,cup
2018,dapl
2018,darcs-monitor
2018,dashel
2018,dctrl-tools
2018,debtags
2018,depqbf
2018,detachtty
2018,dh-buildinfo
2018,dh-lisp
2018,dhcpstarv
2018,dita-ot
2018,dj-database-url
2018,dj-static
2018,djinn
2018,djvubind
2018,dnsjava
2018,dotconf
2018,dovecot-antispam
2018,doxyqml
2018,dsmidiwifi
2018,dublin-traceroute
2018,dumbster
2018,dummydroid
2018,dvblast
2018,dvd+rw-tools
2018,dvipng
2018,easyconf
2018,edenmath.app
2018,efi-reader
2018,elk
2018,enemylines3
2018,entagged
2018,env2
2018,eperl
2018,eql
2018,equalx
2018,erlang-asciideck
2018,erlang-cf
2018,erlang-cl
2018,erlang-cowlib
2018,erlang-horse
2018,erlang-uuid
2018,ethstatus
2018,event-dance
2018,excalibur-logkit
2018,expect
2018,faba-icon-theme
2018,fast-cpp-csv-parser
2018,faustworks
2018,fcitx-autoeng-ng
2018,fcitx-fullwidthchar-enhance
2018,fcitx-punc-ng
2018,fcitx-qimpanel
2018,felix-bundlerepository
2018,felix-osgi-obr
2018,findbugs
2018,flog
2018,fontpens
2018,fonts-alee
2018,fonts-baekmuk
2018,fonts-cns11643
2018,fonts-lexi-gulim
2018,fonts-senamirmir-washra
2018,forge
2018,fox1.6
2018,fparserc++
2018,freecell-solver
2018,freefem
2018,ftp.app
2018,ftplib
2018,ftpmirror
2018,ganymed-ssh2
2018,geki2
2018,generator-scripting-language
2018,gentlyweb-utils
2018,geronimo-interceptor-3.0-spec
2018,gitgraph.js
2018,glasstty
2018,glbinding
2018,glhack
2018,globjects
2018,glogg
2018,gmbal-pfl
2018,gmotionlive
2018,gnome-breakout
2018,gnome-system-log
2018,gnusim8085
2018,golang-coreos-log
2018,golang-github-appc-goaci
2018,golang-github-bmizerany-assert
2018,golang-github-bmizerany-pat
2018,golang-github-calmh-du
2018,golang-github-calmh-luhn
2018,golang-github-cloudfoundry-gosigar
2018,golang-github-confluentinc-confluent-kafka-go
2018,golang-github-coreos-ioprogress
2018,golang-github-cznic-b
2018,golang-github-cznic-bufs
2018,golang-github-daviddengcn-go-colortext
2018,golang-github-deckarep-golang-set
2018,golang-github-disposaboy-jsonconfigreader
2018,golang-github-emicklei-go-restful-swagger12
2018,golang-github-go-macaron-session
2018,golang-github-gogits-go-gogs-client
2018,golang-github-hashicorp-raft-boltdb
2018,golang-github-hlandau-dexlogconfig
2018,golang-github-inconshreveable-go-update
2018,golang-github-influxdata-yamux
2018,golang-github-jacobsa-bazilfuse
2018,golang-github-jacobsa-fuse
2018,golang-github-jacobsa-gcloud
2018,golang-github-jacobsa-oglematchers
2018,golang-github-jacobsa-oglemock
2018,golang-github-jacobsa-reqtrace
2018,golang-github-jacobsa-timeutil
2018,golang-github-jacobsa-util
2018,golang-github-juju-retry
2018,golang-github-masterminds-vcs-dev
2018,golang-github-mitchellh-multistep
2018,golang-github-mvo5-uboot-go
2018,golang-github-nbutton23-zxcvbn-go
2018,golang-github-ncw-go-acd
2018,golang-github-nsf-termbox-go
2018,golang-github-nu7hatch-gouuid
2018,golang-github-nwidger-jsoncolor
2018,golang-github-odeke-em-cache
2018,golang-github-odeke-em-cli-spinner
2018,golang-github-odeke-em-command
2018,golang-github-oleiade-reflections
2018,golang-github-paulrosania-go-charset
2018,golang-github-pierrec-xxhash
2018,golang-github-pointlander-jetset
2018,golang-github-pointlander-peg
2018,golang-github-qor-inflection
2018,golang-github-rainycape-unidecode
2018,golang-github-rakyll-globalconf
2018,golang-github-retailnext-hllpp
