Rank,Application,"Duration (6 months, all detainees)"
5188,Multimedia > Media player,16 years 10 mons 1 day 11:15:10
2112,NO APPLICATION,6 years 10 mons 7 days 08:43:20
1480,Internet > Web Browser,4 years 9 mons 19 days 03:34:40
218,LibreOffice (libreoffice-writer),8 mons 14 days 19:11:00
170,Games > Card > Solitaire,6 mons 18 days 17:55:50
94,Games > Other > Endless Sky,3 mons 20 days 02:38:00
69,Games > Adventure > Dungeon Crawl,2 mons 20 days 02:12:00
57,System > File Manager,2 mons 7 days 03:56:40
55,Games > Sports > Elastomania clone,2 mons 3 days 18:14:20
46,Games > Strategy > The Battle for Wesnoth,1 mon 24 days 02:38:00
44,Games > Board > Mahjong Solitaire,1 mon 21 days 00:01:10
42,Games > Strategy > Warzone 2100,1 mon 19 days 03:42:40
41,Graphics > Image Viewer,1 mon 18 days 05:42:30
40,Games > Arcade > Mario Kart clone,1 mon 16 days 15:34:40
31,Games > Board > Chess,1 mon 5 days 21:05:40
28,Games > Logic > Sudoku,1 mon 2 days 19:23:20
27,Accessories > Calculator,1 mon 1 day 17:43:00
27,LibreOffice (libreoffice-calc),1 mon 1 day 14:26:30
22,Games > Other > Arkanoid (Breakout) clone,25 days 05:07:00
22,LibreOffice (libreoffice-draw),25 days 03:37:20
16,Games > Falling Blocks > Tetris clone,18 days 06:26:20
15,Taskbar,18 days 00:49:20
12,DOOM clone (all campaigns),13 days 13:25:00
11,Games > Strategy > Transport Tycoon Deluxe clone,13 days 09:24:30
11,Games > Arcade > Super Mario clone,13 days 07:31:50
11,Graphics > Photo Editor,13 days 04:12:20
10,Games > Arcade > OpenTyrian,12 days 05:58:20
10,LibreOffice,11 days 10:03:10
9,Games > Logic > Tetravex,10 days 21:51:10
9,LibreOffice (libreoffice-impress),10 days 05:05:30
9,Games > Other > Cataclysm: Dark Days Ahead,10 days 03:02:20
4,Graphics > Computer Aided Design (CAD),4 days 06:04:50
3,Games > Logic > Connect4 clone,4 days 01:40:10
3,Games > Other > 2048,3 days 18:10:20
3,Games/Card > AisleRiot Solitaire,3 days 07:52:00
2,Allegro-based game,2 days 17:04:30
2,Games > Action > Blob Wars : Metal Blob Solid,2 days 14:54:00
2,Games > Strategy > Lemmings clone,2 days 10:29:40
2,Games > Logic > Minesweeper,2 days 06:41:50
2,Games/Strategy > Strategy Game,2 days 04:08:00
2,Games > Arcade > Power Manga,2 days 01:32:00
2,Games/Adventure > Dungeon Crawl (tiles),2 days 00:06:00
2,Games > Logic > Tangrams,1 day 22:36:40
2,alephone,1 day 20:27:00
2,Games > Strategy > Singularity,1 day 18:21:20
1,Games > Board > Reversi,1 day 17:51:40
1,Education > Terrestrial Globe (Marble Virtual Globe),1 day 10:51:40
1,Games/Arcade > A kart racing game,1 day 09:59:00
1,Games > Arcade > Starfighter,1 day 08:56:00
1,Games > Logic > Peg Solitaire,1 day 08:34:10
1,Accessories > Find Files,1 day 06:24:10
1,Games/Sports > Motocross game,1 day 04:45:30
1,Multimedia > Volume Control,1 day 02:48:20
1,Games > Arcade > Asteroids clone,1 day 00:15:20
1,perl,22:26:50
1,Games > Arcade > Block Attack,22:08:20
1,Games > Arcade > Bomberman clone,21:16:30
1,Games > Logic > Jigsaw Puzzle Game,21:11:00
1,Games > Arcade > Worms clone,21:08:10
1,Games > Arcade > Nibbles (Gnome-nibbles),20:59:10
1,Accessories > Japanese/English Dictionary,18:44:20
1,Games > Strategy > Civilization clone,18:26:10
1,Games > Logic > Brain Teasers,17:25:40
1,Games > Board > Mastermind clone,16:19:10
1,Games/Other > Space game,16:15:20
1,Games > Other > SimCity clone,15:30:40
1,Accessories > Galculator,15:21:40
1,Games > Arcade > Nikwi Deluxe,15:12:30
1,Education > Geography Trainer,15:03:50
1,Games > Arcade > MiniGolf,14:58:50
1,Games > Arcade > Boatmania,14:47:50
1,Games/Arcade > Platform Game,14:29:40
0,Games/Board > Chess Game,11:45:00
0,exo-desktop-item-edit,11:21:00
0,Games/Other > LBreakout2,11:12:50
0,Games/Strategy > OpenTTD,11:05:40
0,LibreOffice (libreoffice-startcenter),10:37:00
0,Games > Arcade > BurgerTime clone,10:35:10
0,Education > Periodic Table,10:14:40
0,prisonpc__Complain (Chromium),09:54:40
0,Graphics > Vector Graphics Editor (Inkscape),09:14:40
0,Settings > Accessibility,08:19:30
0,Settings > Appearance,08:18:30
0,Games > Action > Liero,08:02:20
0,Games > Logic > Klotski,07:48:30
0,Games/Board > Mahjongg,06:51:10
0,Games > Arcade > JezzBall clone,06:48:20
0,Games > Logic > Swell Foop,06:35:20
0,Games > Strategy > Battleship clone,06:17:00
0,main.py,05:52:30
0,Games > Other > Planarity,05:46:20
0,Games > Other > Rubik’s Cube,05:32:30
0,Games/Logic > Sudoku,05:02:40
0,Multimedia > Metronome,04:56:20
0,Games > Action > Armagetron Advanced,04:36:20
0,Education > Graphics Calculator,04:09:30
0,Settings > Settings Manager,04:03:30
0,eduactiv8.py,04:01:20
0,Office > Project Planner,03:54:00
0,Games > Arcade > Qonk,03:09:40
0,Settings > Keyboard,03:08:50
0,crx_cplpighpgllfdgioblbbpjleokileeeh (Chromium),03:07:20
0,xfce4-mime-helper,03:02:20
0,UNKNOWN APPLICATION,02:58:10
0,Games > Arcade > Torus Trooper,02:51:30
0,Education > Typing Tutor,02:35:20
0,Settings > Password Reset,02:22:00
0,run_game.py,02:19:30
0,Games > Logic > Hitori,02:14:50
0,Games > Logic > Oxyd clone,02:11:00
0,Games > Other > Allure of the Stars,02:10:50
0,Games/Other > 2048,02:09:40
0,Games > Logic > Crayon Physics clone,02:09:00
0,Games > Arcade > Dangen,01:39:00
0,factory-reset,01:30:20
0,Games/Falling Blocks > Quadrapassel,01:22:20
0,Games/Action > Blob Wars : Metal Blob Solid,01:17:10
0,Games > Arcade > Bosconian clone,01:15:00
0,Education > Virtual Globe (Marble Virtual Globe),01:14:30
0,Settings > Notifications,01:08:40
0,Games > Logic > Lights Off,01:08:30
0,file-jpeg (Gimp-2.10),01:03:00
0,Games/Other > Post-apocalyptic roguelike,01:00:40
0,helper-dialog,00:59:30
0,Office > Finance Management,00:58:50
0,Games > Other > Paradroid clone,00:55:50
0,Games/Board > Reversi,00:48:50
0,print (Gimp-2.10),00:46:30
0,Games > Logic > Atomix,00:46:30
0,Graphics > Diagram Editor,00:45:40
0,Games/Arcade > PowerManga,00:42:30
0,Games > Arcade > Zarathrusta clone,00:39:40
0,Settings > Mouse and Touchpad,00:35:40
