Rank,Application,"Duration (6 months, all detainees)"
3517,Multimedia > Watch TV,11 years 9 mons 5 days 13:17:10
2593,NO APPLICATION,8 years 8 mons 2 days 19:04:10
994,Multimedia > Media player,3 years 3 mons 27 days 02:43:10
502,Games > Solitaire,1 year 8 mons 5 days 03:16:00
417,Internet > Web Browser,1 year 4 mons 22 days 04:32:00
177,Games > Warzone 2100,7 mons 2 days 18:56:10
176,Office > Word Processor (libreoffice),7 mons 1 day 18:23:50
175,Graphics > Image Viewer,7 mons 16:04:50
167,Games > Elastomania clone,6 mons 20 days 14:37:00
143,Games > Super Mario clone,5 mons 22 days 08:11:50
125,Games > Mahjong Solitaire,5 mons 15:08:00
101,Games > Transport Tycoon Deluxe clone,4 mons 1 day 01:56:40
94,Games > The Battle for Wesnoth,3 mons 23 days 16:02:30
76,DOOM clone (all campaigns),3 mons 1 day 03:26:10
66,System > File Manager,2 mons 19 days 22:40:10
65,Games > Tetris clone,2 mons 17 days 22:30:20
63,Games > Civilization clone,2 mons 15 days 11:59:10
55,Games > Blob Wars : Metal Blob Solid,2 mons 6 days 16:19:00
55,Accessories > Calculator,2 mons 5 days 22:06:10
35,Games > Arkanoid (Breakout) clone,1 mon 12 days 12:23:10
31,Games > Chess,1 mon 6 days 19:26:50
30,Office > Dictionary,1 mon 6 days 10:52:00
30,Games > Sudoku,1 mon 5 days 23:03:30
25,Office > Spreadsheet (libreoffice),1 mon 14:32:50
23,UNKNOWN APPLICATION,27 days 22:02:00
21,Office > Drawing Program (libreoffice),25 days 11:43:10
18,Games > Project: Starfighter,21 days 14:42:20
18,perl,21 days 13:57:30
16,Games > Minesweeper,19 days 18:42:10
15,Education > KStars,18 days 05:38:50
14,Games > Oxyd clone,16 days 14:32:10
12,Graphics > Vector Graphics Editor,14 days 04:42:50
12,Games > SimCity clone,14 days 00:15:10
10,Games > Lemmings clone,12 days 07:39:50
10,Graphics > Photo Editor,11 days 20:55:50
10,Games > Asteroids clone,11 days 14:13:30
9,Office > Presentation (libreoffice),10 days 14:52:50
9,Wrapper-2.0,10 days 14:07:40
8,Games > Nikwi Deluxe,9 days 20:11:10
7,Education > Celestia Space Simulator,8 days 22:53:10
6,Games > Connect4 clone,7 days 19:19:30
6,Education > Terrestrial Globe,7 days 13:58:30
6,LibreOffice,7 days 01:42:00
6,Games > Raiden clone,6 days 15:05:50
4,Games > Bosconian clone,5 days 04:37:00
4,kgeography,4 days 21:43:10
4,Games > MiniGolf,4 days 17:41:20
3,Point-and-Click Adventure Games,3 days 23:06:50
3,Games > Jezzball clone,3 days 17:22:00
3,Wrapper,3 days 16:39:50
3,Education > Japanese/English Dictionary,3 days 07:17:10
3,Games > Worms clone,3 days 04:03:20
3,Graphics > Diagram Editor,3 days 03:34:50
3,Games > Bomberman clone,3 days 02:19:00
3,Games > Liero,3 days 00:36:00
2,Games > BurgerTime clone,2 days 20:18:10
2,Games > Tron,2 days 10:59:10
2,NPhysics,2 days 06:48:40
1,Games > Hangman,1 day 05:57:50
1,Allegro,1 day 00:53:30
1,Games > Zarathrusta clone,21:26:40
1,Education > Typing Tutor,20:14:10
1,Games > Qonk,18:21:30
1,Exo-desktop-item-edit,17:49:10
1,Education > Periodic Table,17:07:10
1,libreoffice-startcenter (libreoffice),15:27:10
1,Settings > Appearance,15:23:20
1,Games > Edutainment Suite — GCompris,14:40:10
0,knavalbattle,11:30:00
0,khangman,11:19:30
0,Games > Atomix,11:05:30
0,Games > Paradroid clone,08:37:30
0,Accessories > Help,08:31:40
0,Graphics > Computer Aided Design (CAD),08:19:50
0,Accessories > Find Files,07:51:30
0,Games > Edutainment Suite — Child’s Play,05:49:00
0,kig,05:25:20
0,Graphics > Desktop Publishing — Scribus,05:18:20
0,Settings > Password,04:50:40
0,Games > Gravity Wars clone,04:41:20
0,Education > Geography Trainer,04:39:00
0,Settings > Display,04:09:30
0,Office > Finance Management,04:02:10
0,Settings > Window Manager,03:32:20
0,Taskbar,03:01:10
0,Games > Battleship clone,03:00:20
0,LibreOffice 5.2 (libreoffice),02:57:10
0,Wrapper-1.0,02:49:40
0,Volume (systray applet),02:13:50
0,kbruch,01:58:30
0,Education > Geometry Drawing & Practice,01:45:50
0,Education > Planetarium,01:44:40
0,Settings > Mouse and Touchpad,01:35:00
0,Settings > Keyboard,01:30:10
0,Settings > Notifications,01:29:50
0,Settings > Accessibility,01:09:10
0,Exo-helper-1,01:06:20
0,step,01:05:10
0,Helper-dialog,01:04:30
0,Settings > Factory Reset,00:55:40
0,Education > Fractions Trainer,00:42:50
0,Education > SPSS Statistics clone,00:39:20
0,Log Out,00:37:20
0,Office > Project Planner,00:35:30
0,Education > Graphics Calculator,00:22:30
0,Interactive Fiction Games (GLULX),00:11:30
0,Education > Physics Trainer,00:11:20
0,Gnome-help,00:07:50
0,Interactive Fiction Games (Inform),00:06:40
0,libreoffice-math (libreoffice),00:03:20
0,Thunar-volman,00:03:10
0,Popup Notification,00:02:30
0,Games > Tetris Attack clone,00:01:40
0,Exo-open,00:01:20
0,Tadsr,00:00:40
0,Multimedia > Audacity,00:00:10
0,Advsys,00:00:10
