Rank,Application,"Duration (6 months, all detainees)"
3107,Multimedia > Watch TV,3 years 10 mons 6 days 01:49:50
2675,Multimedia > Media player,3 years 3 mons 23 days 14:17:00
1679,NO APPLICATION,2 years 29 days 01:27:00
1042,Internet > Web Browser,1 year 3 mons 14 days 20:54:00
240,Office > Word Processor (libreoffice),3 mons 17 days 05:16:10
223,Games > Endless Sky,3 mons 9 days 09:16:30
211,Graphics > Image Viewer,3 mons 4 days 08:11:30
205,Games > Solitaire,3 mons 1 day 12:34:10
66,System > File Manager,29 days 11:50:00
61,Games > Elastomania clone,27 days 00:21:40
43,Games > Mario Kart clone,19 days 02:57:40
39,Games > The Battle for Wesnoth,17 days 10:52:20
33,Games > Warzone 2100,14 days 22:23:30
32,Games > Chess,14 days 04:06:10
29,Games > Arkanoid (Breakout) clone,12 days 23:09:00
29,Games > Transport Tycoon Deluxe clone,12 days 17:57:50
25,Office > Dictionary,11 days 07:54:50
25,Games > Blob Wars : Metal Blob Solid,11 days 03:38:10
24,Games > Mahjong Solitaire,10 days 14:16:20
23,Taskbar,10 days 05:19:50
20,Accessories > Calculator,9 days 00:59:50
20,DOOM clone (all campaigns),8 days 20:08:40
20,Office > Spreadsheet (libreoffice),8 days 17:06:50
16,Games > Sudoku,6 days 23:08:30
13,Games > 2048,5 days 14:30:30
12,Games > Tetris clone,5 days 08:39:10
12,Games > Super Mario clone,5 days 05:54:20
9,UNKNOWN APPLICATION,3 days 23:19:40
7,Office > Drawing Program (libreoffice),3 days 06:22:20
6,perl,2 days 15:36:40
6,LibreOffice,2 days 14:27:10
5,Graphics > Photo Editor,2 days 10:19:50
4,Games > Bomberman clone,1 day 15:27:30
4,Education > Terrestrial Globe,1 day 15:10:50
4,Games > Asteroids clone,1 day 13:33:50
3,Office > Presentation (libreoffice),1 day 03:52:10
3,Games > Nikwi Deluxe,1 day 03:41:30
3,Games > Connect4 clone,1 day 03:29:40
3,Games > Iagno,1 day 03:16:10
2,Games > Civilization clone,1 day 01:39:40
2,Games > Klotski,17:56:40
2,libreoffice-startcenter (libreoffice),16:46:40
1,Games > Minesweeper,15:22:20
1,Graphics > Diagram Editor,12:34:20
1,Games > Swell Foop,11:54:30
1,Accessories > Find Files,11:49:40
1,Games > Tetris Attack clone,11:44:50
1,Games > MiniGolf,11:01:20
1,Games > Bosconian clone,10:04:00
1,Point-and-Click Adventure Games,09:59:50
1,Games > Lemmings clone,07:06:20
1,Games > Worms clone,06:29:20
1,Games > Project: Starfighter,05:48:00
0,Games > SimCity clone,04:32:20
0,Graphics > Vector Graphics Editor,04:30:20
0,Games > Raiden clone,04:23:10
0,Games > Frogatto,03:32:40
0,Games > Edutainment Suite — GCompris,03:14:50
0,Accessories > Help,03:09:00
0,Games > Liero,02:45:10
0,Games > Zarathrusta clone,02:36:00
0,Games > BurgerTime clone,02:28:30
0,Education > Typing Tutor,02:24:50
0,Education > SPSS Statistics clone,02:21:40
0,Games > Tron,02:14:30
0,Games > Atomix,01:53:00
0,kgeography,01:48:00
0,Exo-desktop-item-edit,01:43:20
0,Office > Finance Management,01:39:10
0,Allegro,01:38:10
0,knavalbattle,01:37:30
0,Education > Japanese/English Dictionary,01:30:20
0,Games > Lights Off,01:29:40
0,NPhysics,01:24:40
0,Games > Paradroid clone,01:19:50
0,Games > Jezzball clone,01:19:00
0,Education > KStars,01:11:30
0,Games > Qonk,01:08:00
0,Settings > Window Manager,01:00:50
0,Settings > Appearance,00:58:00
0,Wrapper-1.0,00:48:00
0,Graphics > Computer Aided Design (CAD),00:41:40
0,Games > Hitori,00:41:20
0,Games > Oxyd clone,00:36:30
0,Games > Torus Trooper,00:34:50
0,Settings > Password Reset,00:31:10
0,Settings > Display,00:30:20
0,Interactive Fiction Games (GLULX),00:29:30
0,Settings > Accessibility,00:29:20
0,kig,00:24:50
0,Helper-dialog,00:24:40
0,Volume (systray applet),00:23:00
0,kbruch,00:22:00
0,Settings > Factory Reset,00:20:40
0,Graphics > Desktop Publishing — Scribus,00:18:30
0,Settings > Keyboard,00:17:30
0,Settings > Mouse and Touchpad,00:16:00
0,Gvncviewer,00:15:50
0,Interactive Fiction Games (Inform),00:15:40
0,Exo-helper-1,00:13:20
0,khangman,00:08:10
0,Multimedia > Rip a Movie Disc,00:06:10
0,Accessories > Screenshot,00:05:00
0,Office > Project Planner,00:03:40
0,Settings > Notifications,00:03:30
0,Toggle-opendyslexic-in-chromium-debian9,00:03:20
0,Education > Periodic Table,00:02:50
0,Log Out,00:02:20
0,step,00:01:00
0,Exo-open,00:01:00
0,Thunar-volman,00:00:30
0,libreoffice-math (libreoffice),00:00:30
0,Education > Graphics Calculator,00:00:20
