Rank,Application,"Duration (6 months, all detainees)"
1,Games/Board > Mastermind,14:34:30
1,Games > SimCity clone,13:31:00
1,Games/Logic > Game,13:24:20
1,Games/Arcade > Nibbles (Gnome-nibbles),13:15:10
1,Games > Connect4 clone,13:06:50
1,Games/Other > gPlanarity,12:43:30
1,exo-desktop-item-edit,12:17:00
1,Settings > Appearance,11:41:10
1,Graphics > Computer Aided Design (CAD),11:31:40
1,Games/Arcade > nikwi,11:30:00
1,Education > Japanese/English Dictionary,10:59:50
0,Office > Finance Management,10:03:30
0,Education > Lybniz Graph Plotter,09:24:10
0,kgeography,09:14:50
0,Games/Arcade > Bloboats,09:14:00
0,Games/Arcade > Miniature Golf,08:53:40
0,Games > MiniGolf,08:30:40
0,Games/Logic > Tetravex,08:25:40
0,Games > Lemmings clone,08:16:00
0,Games > Iagno,08:13:40
0,Games/Arcade > Torus Trooper,07:37:20
0,Education > Typing Tutor,07:35:10
0,Games/Logic > Peg Solitaire,07:35:00
0,Graphics > Diagram Editor,07:25:10
0,Graphics > Vector Graphics Editor (Inkscape),07:01:10
0,Games > Nikwi Deluxe,06:55:00
0,Games > Tron,06:40:30
0,Settings > Display,05:47:20
0,Games/Arcade > Starfighter,05:44:50
0,Games/Arcade > Arcade Game,05:41:20
0,Accessories > Find Files,05:19:00
0,Games/Arcade > BurgerSpace,05:13:00
0,Games/Action > Armagetron Advanced,04:41:30
0,Games > Bosconian clone,04:22:30
0,Graphics > Vector Graphics Editor,04:16:10
0,Education > Periodic Table,04:10:50
0,prisonpc__Complain (Chromium),03:59:20
0,Games/Strategy > Ship Sinking Game,03:56:50
0,Education > Geography Trainer,03:52:10
0,Games > Oxyd clone,03:43:00
0,libreoffice-startcenter (libreoffice),03:33:00
0,run_game.py,03:20:10
0,Games/Arcade > Bomberclone,03:05:00
0,Games > Jezzball clone,02:42:50
0,Games/Other > GNUbik,02:30:30
0,Settings > Settings Manager,02:30:00
0,Games/Logic > Numpty Physics,02:28:50
0,Games/Arcade > dangen,02:15:30
0,Games/Logic > Klotski,02:01:40
0,Games/Logic > Swell Foop,01:50:10
0,Exo-desktop-item-edit,01:50:10
0,Games/Arcade > Ball Bouncing Game,01:45:10
0,Settings > Keyboard,01:32:50
0,Games > Edutainment Suite — GCompris,01:32:00
0,eduactiv8.py,01:31:50
0,LibreOffice (libreoffice-startcenter),01:24:20
0,Games > Swell Foop,01:22:20
0,Games > Liero,01:19:40
0,Helper-dialog,01:17:40
0,Multimedia > GTick,01:16:50
0,Settings > Window Manager,01:14:50
0,Games/Arcade > Block Attack,01:13:10
0,Games/Logic > Enigma,01:04:40
0,knavalbattle,01:00:20
0,Settings > Notifications,01:00:20
0,NPhysics,00:57:50
0,xfce4-mime-helper,00:57:20
0,main.py,00:57:00
0,Accessories > Help,00:56:30
0,Games/Logic > Lights Off,00:56:00
0,Games > Qonk,00:55:20
0,Settings > Password,00:54:20
0,Education > Yet another touch typing tutor,00:47:50
0,Settings > Accessibility,00:45:30
0,Settings > Mouse and Touchpad,00:42:10
0,Games > Tetris Attack clone,00:41:20
0,Games > Lights Off,00:40:40
0,Wrapper-1.0,00:39:10
0,Settings > Password Reset,00:36:10
0,Games > Bomberman clone,00:33:20
0,Games/Other > Freedroid,00:33:00
0,Education > KStars,00:31:10
0,Games/Action > lierolibre,00:29:00
0,lighting (Gimp-2.10),00:28:30
0,factory-reset,00:28:10
0,Settings > Factory Reset,00:28:10
0,Interactive Fiction Games (GLULX),00:27:50
0,Games/Other > Allure of the Stars,00:27:40
0,helper-dialog,00:27:00
0,Games > BurgerTime clone,00:25:20
0,Games/Arcade > Super Transball 2,00:25:00
0,print (Gimp-2.10),00:19:40
0,Allegro,00:18:00
0,Games/Logic > Molecule puzzle game,00:15:50
0,Volume (systray applet),00:15:40
0,Games/Arcade > Qonk,00:15:30
0,Games > Hitori,00:14:00
0,Games > Torus Trooper,00:14:00
0,Games/Logic > Hitori,00:12:40
0,Games > Zarathrusta clone,00:11:20
0,khangman,00:11:00
0,file-jpeg (Gimp-2.10),00:10:00
0,LibreOffice (libreoffice-math),00:09:40
0,Exo-helper-1,00:08:40
0,Games > Atomix,00:08:20
0,file-pdf-load (Gimp-2.10),00:07:40
0,Office > Project Planner,00:07:20
0,Office > Project Management,00:07:10
0,file-png (Gimp-2.10),00:06:40
0,kig,00:06:30
0,Settings > Dyslexic font in Chromium,00:06:30
0,Games/Arcade > Kobo Deluxe,00:06:20
0,Games > Paradroid clone,00:05:20
0,step,00:05:20
0,Graphics > Desktop Publishing — Scribus,00:04:30
0,Settings > Color Profiles,00:04:10
0,srv_share_tv_.epg_index.html (Chromium),00:04:10
0,thunar-volman,00:03:40
0,Log Out,00:02:40
0,file-webp (Gimp-2.10),00:02:20
0,xfsettingsd,00:01:50
0,metadata-viewer (Gimp-2.10),00:01:40
0,Interactive Fiction Games (Inform),00:01:30
0,sparkle (Gimp-2.10),00:01:20
0,Toggle-opendyslexic-in-chromium-debian9,00:01:10
0,gradient-flare (Gimp-2.10),00:01:00
0,file-svg (Gimp-2.10),00:00:50
0,softglow (Gimp-2.10),00:00:50
0,Internet > Mail (Gimp-2.10),00:00:30
0,Education > Graphics Calculator,00:00:30
0,nl-filter (Gimp-2.10),00:00:30
0,Education > SPSS Statistics clone,00:00:20
0,Exo-open,00:00:20
0,despeckle (Gimp-2.10),00:00:20
0,Tadsr,00:00:20
0,Thunar-volman,00:00:10
0,Advsys,00:00:10
0,gimp-debug-tool-2.0,00:00:10
0,Kig,00:00:10
0,Xfsettingsd,00:00:10
0,xmessage,00:00:10
