Rank,Application,"Duration (6 months, all detainees)"
4288,Multimedia > Media player,10 years 6 mons 1 day 17:19:50
2112,NO APPLICATION,5 years 2 mons 2 days 10:20:20
1225,Multimedia > Watch TV,3 years 15:13:40
1142,Internet > Web Browser,2 years 9 mons 16 days 22:17:10
145,Office > Word Processor (libreoffice),4 mons 8 days 01:53:30
115,Graphics > Image Viewer,3 mons 11 days 07:56:30
78,Games > Solitaire,2 mons 8 days 10:26:10
76,Games/Card > AisleRiot Solitaire,2 mons 7 days 00:58:10
76,LibreOffice (libreoffice-writer),2 mons 7 days 00:04:10
61,Games/Adventure > Dungeon Crawl (tiles),1 mon 23 days 11:30:10
60,Games/Other > Space game,1 mon 23 days 05:04:40
53,System > File Manager,1 mon 16 days 12:47:20
47,Games/Sports > Motocross game,1 mon 11 days 00:42:20
32,Games > Elastomania clone,28 days 02:39:40
30,Games/Strategy > Strategy Game,26 days 03:25:00
24,Games > The Battle for Wesnoth,21 days 04:08:40
24,Games/Arcade > A kart racing game,20 days 21:25:00
23,Games > Mahjong Solitaire,20 days 03:56:30
22,Games/Board > Mahjongg,19 days 11:31:40
18,Games > Sudoku,16 days 02:18:00
18,Games/Board > Chess Game,15 days 16:47:40
18,Taskbar,15 days 14:14:20
17,Games > Warzone 2100,14 days 15:04:50
16,Accessories > Galculator,14 days 02:23:30
16,Office > Dictionary,13 days 21:41:10
16,Games > Endless Sky,13 days 18:47:10
15,Games > Transport Tycoon Deluxe clone,13 days 07:26:00
14,Games/Other > Post-apocalyptic roguelike,12 days 10:11:40
14,Games/Strategy > OpenTTD,12 days 08:04:20
14,Games/Logic > Sudoku,12 days 06:10:10
13,Accessories > Calculator,11 days 14:56:30
12,Games > Chess,10 days 10:24:20
11,Games/Arcade > Platform Game,9 days 14:45:50
8,DOOM clone (all campaigns),7 days 08:20:10
8,alephone,6 days 23:16:50
8,Games > Civilization clone,6 days 16:23:20
7,LibreOffice (libreoffice-calc),6 days 04:42:50
7,LibreOffice,5 days 19:47:50
7,Office > Spreadsheet (libreoffice),5 days 18:23:10
6,Games > Tetris clone,5 days 07:00:30
6,perl,5 days 05:38:10
5,Games/Other > LBreakout2,4 days 18:31:10
5,Games > Mario Kart clone,4 days 14:56:00
5,Office > Presentation (libreoffice),4 days 14:04:00
5,Graphics > Photo Editor,4 days 10:06:50
5,Graphics > Image Editor,4 days 04:17:50
4,Games > Arkanoid (Breakout) clone,3 days 21:17:10
4,Office > Drawing Program (libreoffice),3 days 11:24:30
4,Games/Arcade > OpenTyrian,3 days 05:30:20
3,Graphics > CAD system,2 days 20:02:50
3,Games/Logic > Jigsaw Puzzle Game,2 days 12:31:00
3,Games/Arcade > PowerManga,2 days 08:58:00
2,Games/Action > Blob Wars : Metal Blob Solid,1 day 23:18:50
2,Games/Falling Blocks > Quadrapassel,1 day 21:59:40
2,Games > 2048,1 day 18:58:50
2,Games/Other > 2048,1 day 12:34:30
2,LibreOffice (libreoffice-draw),1 day 11:13:10
1,Games > Super Mario clone,1 day 06:05:20
1,Games/Logic > Mines,1 day 05:00:20
1,Games/Strategy > Singularity,1 day 04:19:50
1,Education > Virtual Globe (Marble Virtual Globe),1 day 04:16:30
1,Games/Strategy > Free Lemmings(TM) clone,1 day 03:53:10
1,Games/Arcade > Ambrosia Maelstrom,1 day 03:35:20
1,Games > Asteroids clone,1 day 03:15:00
1,Games > Worms clone,1 day 01:59:40
1,Games/Other > City Simulation Game,1 day 01:36:20
1,Games/Strategy > Freeciv,23:44:20
1,Point-and-Click Adventure Games,23:17:10
1,Games > Blob Wars : Metal Blob Solid,22:56:10
1,Games > Klotski,22:49:50
1,Games > Minesweeper,20:02:40
1,LibreOffice (libreoffice-impress),19:47:40
1,UNKNOWN APPLICATION,19:00:30
1,Accessories > Gjiten,18:11:10
1,Multimedia > Volume Control,17:57:20
1,Education > Terrestrial Globe,17:30:50
1,Allegro-based game,17:21:20
1,Games > Raiden clone,17:04:10
1,Games/Logic > Four-in-a-row,16:56:50
1,Games > Frogatto,16:18:30
1,Games > Project: Starfighter,15:37:30
1,Accessories > File search,15:34:10
1,Games/Board > Reversi,15:19:50
1,Games/Logic > Tangrams,15:05:30
