Rank,Application,"Duration (6 months, all detainees)"
3911,Multimedia > Media player,7 years 5 mons 21 days 22:42:00
2780,NO APPLICATION,5 years 3 mons 23 days 15:34:10
2113,Internet > Web Browser,4 years 14 days 07:20:10
267,LibreOffice (libreoffice-writer),6 mons 3 days 23:41:40
156,Games > Card > Solitaire,3 mons 17 days 14:25:30
78,Graphics > Image Viewer,1 mon 23 days 18:28:00
74,LibreOffice (libreoffice-calc),1 mon 21 days 03:05:30
73,System > File Manager,1 mon 20 days 04:26:50
66,Games > Strategy > Transport Tycoon Deluxe clone,1 mon 15 days 04:25:20
66,Games > Logic > Sudoku,1 mon 15 days 03:30:00
46,Games > Board > Mahjong Solitaire,1 mon 1 day 23:46:50
40,Games > Board > Chess,27 days 19:06:10
40,Games > Arcade > Super Mario clone,27 days 12:16:10
34,Accessories > Calculator,23 days 03:56:20
25,Games > Sports > Elastomania clone,17 days 06:11:30
22,Taskbar,15 days 04:02:10
20,Games > Falling Blocks > Tetris clone,13 days 17:01:40
19,Graphics > Photo Editor,13 days 07:01:10
19,LibreOffice (libreoffice-draw),12 days 23:02:50
16,Games > Arcade > Mario Kart clone,11 days 06:41:40
16,Games > Strategy > The Battle for Wesnoth,10 days 21:09:30
13,Games > Adventure > Dungeon Crawl,9 days 06:58:20
13,Games > Arcade > Nibbles (Gnome-nibbles),9 days 04:44:00
12,Games > Other > Cataclysm: Dark Days Ahead,8 days 00:24:40
11,LibreOffice,7 days 07:34:10
11,Games > Arcade > Power Manga,7 days 05:54:20
8,Games > Other > Endless Sky,5 days 09:44:10
8,LibreOffice (libreoffice-impress),5 days 05:44:00
6,Games > Strategy > Warzone 2100,4 days 03:33:30
3,alephone,2 days 00:12:40
3,Education > Terrestrial Globe (Marble Virtual Globe),1 day 22:54:30
2,Education > Geography Trainer,1 day 08:52:20
2,exo-desktop-item-edit,1 day 05:03:10
2,DOOM clone (all campaigns),1 day 04:53:40
2,Games > Strategy > Lemmings clone,1 day 02:21:50
1,Games > Other > 2048,23:11:50
1,Accessories > Find Files,23:08:50
1,Games > Board > Reversi,18:27:50
1,Games > Logic > Jigsaw Puzzle Game,15:49:00
1,Accessories > Japanese/English Dictionary,15:34:00
1,Games > Strategy > Singularity,14:49:10
1,Games > Arcade > JezzBall clone,14:40:40
1,Graphics > Computer Aided Design (CAD),14:12:10
1,Allegro-based game,13:26:00
1,Games > Arcade > Bosconian clone,12:53:40
1,Games > Arcade > OpenTyrian,12:09:40
1,Games > Strategy > Battleship clone,12:09:10
1,Games > Arcade > Starfighter,11:49:30
1,Games > Logic > Connect4 clone,11:13:50
1,Games > Arcade > BurgerTime clone,10:07:20
1,Graphics > Vector Graphics Editor (Inkscape),09:46:40
1,Office > Finance Management,09:29:50
1,Games > Other > Arkanoid (Breakout) clone,08:16:50
0,Education > Typing Tutor,08:03:40
0,Games > Arcade > MiniGolf,07:46:10
0,Games > Action > Blob Wars : Metal Blob Solid,07:12:40
0,LibreOffice (libreoffice-startcenter),07:01:10
0,Multimedia > Volume Control,06:38:40
