Rank,Application,"Duration (6 months, all detainees)"
2791,NO APPLICATION,7 years 9 mons 20 days 10:52:20
2538,Multimedia > Media player,7 years 1 mon 5 days 01:34:40
2489,Multimedia > Watch TV,6 years 11 mons 15 days 21:42:10
685,Internet > Web Browser,1 year 11 mons 01:41:20
278,Games > Solitaire,9 mons 10 days 10:03:10
171,Office > Word Processor (libreoffice),5 mons 22 days 06:02:00
166,Graphics > Image Viewer,5 mons 16 days 17:57:40
157,Games > Elastomania clone,5 mons 7 days 14:08:10
91,Games > The Battle for Wesnoth,3 mons 1 day 09:09:00
67,Games > Warzone 2100,2 mons 7 days 19:05:40
62,Games > Transport Tycoon Deluxe clone,2 mons 2 days 03:35:00
58,Games > Mahjong Solitaire,1 mon 28 days 01:41:50
56,System > File Manager,1 mon 26 days 18:51:50
37,Games > Super Mario clone,1 mon 7 days 14:34:40
37,Office > Dictionary,1 mon 7 days 00:24:00
30,Games > Arkanoid (Breakout) clone,29 days 19:21:20
27,Accessories > Calculator,27 days 09:07:50
27,Taskbar,27 days 00:05:30
22,Games > Chess,21 days 21:41:50
21,Office > Spreadsheet (libreoffice),21 days 10:04:20
19,DOOM clone (all campaigns),19 days 05:57:30
16,Games > Asteroids clone,16 days 14:37:40
16,UNKNOWN APPLICATION,16 days 01:31:30
15,Games > Tetris clone,14 days 20:12:10
15,Games > Oxyd clone,14 days 18:07:50
12,Games > Civilization clone,12 days 01:16:00
11,perl,11 days 09:45:40
11,Graphics > Photo Editor,10 days 15:35:50
8,Games > Sudoku,8 days 09:08:50
8,Games > Blob Wars : Metal Blob Solid,8 days 01:36:50
6,Office > Drawing Program (libreoffice),5 days 18:03:20
5,Games > Lemmings clone,4 days 17:22:10
4,LibreOffice,4 days 06:33:10
4,Games > Torus Trooper,3 days 17:22:10
4,Education > Terrestrial Globe,3 days 15:08:40
3,Games > Worms clone,3 days 08:18:20
3,Graphics > Vector Graphics Editor,2 days 18:13:40
2,Games > SimCity clone,2 days 11:47:40
2,Games > MiniGolf,2 days 08:20:20
2,Games > Project: Starfighter,2 days 06:36:10
2,Games > BurgerTime clone,1 day 17:57:10
2,Games > Bomberman clone,1 day 14:51:30
2,Games > Minesweeper,1 day 13:17:40
1,Education > Typing Tutor,1 day 11:30:40
1,Games > Connect4 clone,1 day 10:42:40
1,Games > Nikwi Deluxe,1 day 06:09:40
1,Education > KStars,1 day 04:11:10
1,Games > Qonk,1 day 00:43:10
1,Point-and-Click Adventure Games,23:51:00
1,Games > Liero,22:43:40
1,kgeography,20:47:20
1,Exo-desktop-item-edit,17:13:40
1,Games > Raiden clone,17:11:00
1,Education > Japanese/English Dictionary,16:44:50
1,Education > SPSS Statistics clone,16:12:00
1,Interactive Fiction Games (GLULX),12:50:40
1,Accessories > Find Files,12:35:50
0,knavalbattle,11:40:50
0,Games > Jezzball clone,10:55:40
0,Games > Tron,10:28:30
0,Games > Atomix,08:43:30
0,Games > Edutainment Suite — GCompris,08:22:50
0,Settings > Appearance,08:19:20
0,Games > Zarathrusta clone,07:48:00
0,Office > Presentation (libreoffice),07:31:50
0,Games > Bosconian clone,07:08:30
0,Accessories > Help,06:21:10
0,NPhysics,06:17:40
0,khangman,06:05:30
0,Graphics > Diagram Editor,04:29:50
0,kbruch,04:23:10
0,Settings > Display,04:17:50
0,Office > Finance Management,04:16:40
0,Education > Periodic Table,04:04:00
0,Wrapper-1.0,03:32:20
0,kig,03:28:50
0,Graphics > Computer Aided Design (CAD),03:12:20
0,Games > Edutainment Suite — Child’s Play,03:06:20
0,Helper-dialog,02:55:10
0,Interactive Fiction Games (Inform),02:51:00
0,libreoffice-startcenter (libreoffice),02:46:40
0,Games > Paradroid clone,02:22:50
0,Settings > Window Manager,02:19:50
0,Settings > Factory Reset,02:15:20
0,Allegro,02:09:10
0,Graphics > Desktop Publishing — Scribus,01:31:40
0,Settings > Password Reset,01:31:30
0,Volume (systray applet),01:28:30
0,Games > Tetris Attack clone,01:23:50
0,Log Out,01:12:40
0,Accessories > Screenshot,01:05:50
0,step,00:51:10
0,Settings > Accessibility,00:49:20
0,Settings > Notifications,00:39:30
0,Settings > Keyboard,00:37:50
0,Settings > Mouse and Touchpad,00:28:10
0,Office > Project Planner,00:25:30
0,Exo-helper-1,00:22:40
0,libreoffice-math (libreoffice),00:05:50
0,Education > Graphics Calculator,00:05:00
0,Thunar-volman,00:04:10
0,Advsys,00:01:10
0,Gvncviewer,00:01:00
0,Gnome-help,00:00:50
0,Accessories > Archive Manager,00:00:30
0,Exo-open,00:00:20
0,Multimedia > Audacity,00:00:10
0,System > Terminal Emulator,00:00:10
0,Chooser,00:00:10
