Rank,Application,"Duration (6 months, all detainees)"
3410,Multimedia > Media player,7 years 2 mons 24 days 04:37:10
2564,Internet > Web Browser,5 years 5 mons 8 days 00:27:50
2305,NO APPLICATION,4 years 10 mons 19 days 22:42:10
231,LibreOffice (libreoffice-writer),5 mons 26 days 12:40:50
220,Games > Card > Solitaire,5 mons 18 days 08:57:20
175,Graphics > Image Viewer,4 mons 13 days 09:39:20
108,Games > Strategy > Warzone 2100,2 mons 22 days 06:41:40
88,Games > Role-playing > Cataclysm: Dark Days Ahead,2 mons 7 days 11:12:00
78,Games > Logic > Sudoku,1 mon 29 days 16:55:30
75,System > File Manager,1 mon 27 days 11:10:40
72,LibreOffice (libreoffice-calc),1 mon 25 days 04:42:00
66,Games > Sports > Elastomania clone,1 mon 20 days 12:18:00
64,Games > Arcade > Super Mario clone,1 mon 18 days 12:32:10
61,Games > Board > Mahjong Solitaire,1 mon 16 days 19:52:10
58,Games > Simulation > Transport Tycoon Deluxe clone,1 mon 14 days 12:01:40
49,Games > Simulation > Endless Sky,1 mon 7 days 10:44:40
43,Games > Board > Chess,1 mon 2 days 20:26:50
39,wesnoth-1.18,29 days 10:28:20
38,Games > Adventure > Dungeon Crawl,28 days 17:00:40
33,Games > Falling Blocks > Tetris clone,25 days 13:09:50
33,Accessories > Calculator,25 days 08:50:40
20,Taskbar,15 days 07:19:30
18,Games > Arcade > Mario Kart clone,13 days 18:23:10
16,Games > Other > Arkanoid (Breakout) clone,12 days 09:39:40
15,LibreOffice (libreoffice-impress),11 days 14:48:50
15,Graphics > Photo Editor,11 days 01:51:20
13,LibreOffice (libreoffice-draw),10 days 02:20:10
11,Games > Action > Blob Wars : Metal Blob Solid,8 days 09:09:20
8,dsda-doom,6 days 09:35:00
7,LibreOffice,5 days 08:37:00
5,Games > Simulation > SimCity clone,4 days 04:07:30
5,Games > Logic > Tetravex,3 days 23:46:10
5,Games > Arcade > Bosconian clone,3 days 12:56:40
4,Games > Logic > Minesweeper,3 days 08:39:10
3,Games > Arcade > OpenTyrian,2 days 05:29:00
3,Games > Logic > Crosswords,1 day 22:08:50
2,Games > Strategy > Civilization clone,1 day 21:46:20
2,Science > Terrestrial Globe (Marble Virtual Globe),1 day 17:08:30
2,Graphics > Diagram Editor,1 day 16:04:40
2,Games > Other > 2048 (Gnome-2048),1 day 14:16:40
2,Games > Arcade > Starfighter,1 day 14:03:10
2,Games > Arcade > JezzBall clone,1 day 13:56:10
2,alephone,1 day 10:12:00
2,perl,1 day 03:53:20
1,exo-desktop-item-edit,1 day 01:32:50
1,Education > Geography Trainer,1 day 00:28:10
1,Games > Logic > Connect4 clone,17:39:00
1,Allegro-based game,17:35:00
1,Games > Board > Reversi,17:34:40
1,Games > Arcade > Power Manga,17:02:30
1,Games > Arcade > MiniGolf,15:47:20
1,Games > Strategy > Lemmings clone,15:34:50
1,Education > Typing Tutor,15:28:10
1,Accessories > Japanese/English Dictionary,14:44:00
1,Graphics > Computer Aided Design (CAD),14:09:20
1,Games > Arcade > Asteroids clone,13:53:00
1,Games > Arcade > Nibbles (Gnome-nibbles),13:29:20
1,Games > Arcade > Nikwi Deluxe,12:40:30
1,Games > Logic > Brain Teasers,11:05:10
1,Games > Other > Allure of the Stars,10:23:00
1,Games > Logic > Crayon Physics clone,10:12:10
1,Games > Arcade > BurgerTime clone,09:26:50
0,Science > Periodic Table,08:58:40
0,Games > Logic > Swell Foop,08:50:20
0,Games > Logic > Klotski,08:40:50
0,Games > Board > Mastermind clone,08:21:20
0,Games > Action > Tron,08:20:10
0,Games > Logic > Rubik’s Cube,07:23:00
0,LibreOffice (libreoffice-startcenter),06:05:20
0,Graphics > Vector Graphics Editor (Inkscape),05:54:40
0,Games > Strategy > Battleship clone,05:40:30
0,Settings > Appearance,05:16:20
0,Office > Finance Management,04:54:20
0,Games > Strategy > Singularity,04:44:20
0,Settings > Settings Manager,04:29:10
0,xfce4-mime-helper,04:14:30
0,UNKNOWN APPLICATION,04:04:50
0,Games > Logic > Tangrams,04:00:10
0,prisonpc__Complain (Chromium),03:57:50
0,viewres,03:49:40
0,Games > Arcade > Worms clone,03:45:40
0,Games > Action > Liero,03:43:50
0,Games > Logic > Oxyd clone,03:35:00
0,crx_fdojcbajknphlbppopchmphmafnadcea (Chromium),03:31:10
0,Multimedia > Volume Control,03:29:50
0,Other > Crossword Editor,03:10:50
0,Games > Logic > Jigsaw Puzzle Game,03:01:30
0,Settings > Password Reset,02:24:20
0,Games > Logic > Peg Solitaire,02:17:40
0,Settings > Notifications,01:50:30
0,Games > Arcade > Block Attack,01:46:10
0,Games > Arcade > Bomberman clone,01:41:50
0,Games > Arcade > Boatmania,01:39:30
0,crx_gkdcmkjnciohkopjmgfjaofijbebngko (Chromium),01:23:10
0,crx_cplpighpgllfdgioblbbpjleokileeeh (Chromium),01:21:20
0,Games > Other > Planarity,01:18:10
0,Settings > Keyboard,01:15:20
0,Settings > Accessibility,01:11:20
0,Games > Arcade > Dangen,01:02:10
0,Games > Logic > Lights Off,00:56:30
0,Settings > Mouse and Touchpad,00:42:50
0,Games > Logic > Atomix,00:38:50
0,Games > Logic > Hitori,00:32:00
0,Games > Arcade > Torus Trooper,00:31:50
0,file-jpeg (Gimp-2.10),00:30:10
0,Games > Other > Paradroid clone,00:26:00
0,Multimedia > Metronome,00:24:40
0,Games > Arcade > Zarathrusta clone,00:24:20
0,Games > Arcade > Qonk,00:24:20
0,helper-dialog,00:22:40
0,eduactiv8.py,00:20:10
0,print (Gimp-2.10),00:17:30
0,file-pdf-load (Gimp-2.10),00:16:50
0,LibreOffice (libreoffice-math),00:16:20
0,factory-reset,00:16:10
0,file-png (Gimp-2.10),00:15:30
0,crx_bnnbngknkonljiachjbfiokopalaimhp (Chromium),00:14:10
0,Education > Graphics Calculator,00:10:00
0,Office > Project Planner,00:09:30
0,file-webp (Gimp-2.10),00:08:30
0,Settings > Colour Profiles,00:08:00
0,Settings > Dyslexic font in Chromium,00:07:40
0,thunar-volman,00:07:10
0,imagemap (Gimp-2.10),00:05:20
0,file-heif (Gimp-2.10),00:05:10
0,lighting (Gimp-2.10),00:04:00
0,despeckle (Gimp-2.10),00:03:50
0,xmessage,00:03:40
0,cartoon (Gimp-2.10),00:02:40
0,crx_cemiblbkddbhpkjgihamjdfifbkkmpkf (Chromium),00:02:40
0,crx_jbkenomhpdhcjemclcamhkmcopogepin (Chromium),00:02:00
0,Internet > Mail (Gimp-2.10),00:01:40
0,Multimedia > Watch TV,00:01:40
0,chooser,00:01:40
0,sparkle (Gimp-2.10),00:01:10
0,depth-merge (Gimp-2.10),00:00:40
0,Multimedia > Sound Editor,00:00:30
0,file-html-table (Gimp-2.10),00:00:20
0,photocopy (Gimp-2.10),00:00:20
0,gimp-debug-tool-2.0,00:00:10
0,pagecurl (Gimp-2.10),00:00:10
0,gradient-flare (Gimp-2.10),00:00:10
0,file-pnm (Gimp-2.10),00:00:10
0,file-pdf-save (Gimp-2.10),00:00:10
0,destripe (Gimp-2.10),00:00:10
0,procedure-browser (Gimp-2.10),00:00:10
0,animation-play (Gimp-2.10),00:00:10
0,decompose (Gimp-2.10),00:00:10
0,van-gogh-lic (Gimp-2.10),00:00:10
0,crx_iaibjihleidhdffipmbnhcgdloleaghj (Chromium),00:00:10
0,crx_gfdfadhckplnkcgkicecabiefkpcddmi (Chromium),00:00:10
0,file-ps (Gimp-2.10),00:00:10
0,emboss (Gimp-2.10),00:00:10
