Rank,Application,"Duration (6 months, all detainees)"
3245,Multimedia > Watch TV,11 years 10 mons 17 days 06:06:30
2882,NO APPLICATION,10 years 6 mons 18 days 15:32:50
1329,Multimedia > Media player,4 years 10 mons 11 days 06:44:10
434,Internet > Web Browser,1 year 7 mons 1 day 19:45:50
369,Games > Solitaire,1 year 4 mons 6 days 05:17:30
181,Office > Word Processor (libreoffice),7 mons 28 days 04:24:50
148,Graphics > Image Viewer,6 mons 14 days 10:05:40
138,Games > The Battle for Wesnoth,6 mons 2 days 10:44:00
134,Games > Warzone 2100,5 mons 26 days 14:57:40
123,Games > Elastomania clone,5 mons 12 days 17:35:50
105,Games > Mahjong Solitaire,4 mons 18 days 19:30:00
99,Games > Super Mario clone,4 mons 10 days 13:16:20
79,DOOM clone (all campaigns),3 mons 14 days 16:56:10
68,System > File Manager,2 mons 29 days 10:57:30
54,Games > Blob Wars : Metal Blob Solid,2 mons 10 days 21:37:50
50,Accessories > Calculator,2 mons 6 days 01:42:20
49,Games > Transport Tycoon Deluxe clone,2 mons 4 days 10:38:50
48,Games > Project: Starfighter,2 mons 3 days 11:25:30
37,Games > Tetris clone,1 mon 18 days 18:25:00
35,Office > Dictionary,1 mon 16 days 00:20:20
33,Games > Sudoku,1 mon 13 days 12:49:20
31,Games > Asteroids clone,1 mon 10 days 19:13:20
25,Games > Chess,1 mon 3 days 11:05:40
25,UNKNOWN APPLICATION,1 mon 2 days 20:56:30
25,Games > Arkanoid (Breakout) clone,1 mon 2 days 17:14:00
23,Games > Minesweeper,1 mon 20:55:20
20,Games > Oxyd clone,26 days 07:58:10
20,Office > Spreadsheet (libreoffice),26 days 03:19:30
15,Office > Drawing Program (libreoffice),20 days 01:45:10
15,Games > Liero,19 days 13:02:20
13,Graphics > Photo Editor,16 days 12:49:10
12,Games > MiniGolf,15 days 17:08:00
12,Wrapper-2.0,15 days 15:31:10
11,Games > Civilization clone,14 days 10:48:20
9,Games > Nikwi Deluxe,12 days 05:06:30
9,Games > Lemmings clone,12 days 01:36:00
9,perl,12 days 00:18:20
8,Taskbar,11 days 02:25:00
6,Education > Terrestrial Globe,7 days 21:08:50
6,Games > SimCity clone,7 days 15:05:00
5,Graphics > Vector Graphics Editor,6 days 12:33:50
5,LibreOffice,6 days 08:28:50
4,NPhysics,5 days 16:32:30
4,Games > Connect4 clone,5 days 10:55:20
4,Office > Presentation (libreoffice),4 days 22:16:50
3,Point-and-Click Adventure Games,4 days 06:13:10
3,Education > KStars,4 days 05:52:30
3,Games > Bosconian clone,4 days 03:57:10
3,Games > Tron,3 days 21:50:10
3,Games > Worms clone,3 days 21:34:20
3,Games > BurgerTime clone,3 days 20:06:40
2,knavalbattle,2 days 23:43:40
2,kgeography,2 days 15:45:00
2,Graphics > Diagram Editor,2 days 15:09:00
2,Games > Raiden clone,2 days 08:28:30
2,Games > Jezzball clone,2 days 04:20:40
1,Graphics > Computer Aided Design (CAD),1 day 18:04:50
1,Games > Bomberman clone,1 day 15:42:50
1,Games > Zarathrusta clone,1 day 06:53:10
1,Education > Japanese/English Dictionary,1 day 05:58:20
1,Education > Typing Tutor,1 day 05:56:00
1,Games > Qonk,1 day 00:32:00
1,Education > Periodic Table,21:44:10
1,Games > Tetris Attack clone,18:02:50
1,libreoffice-startcenter (libreoffice),17:53:40
1,Games > Paradroid clone,15:52:10
0,Settings > Appearance,15:45:00
0,Games > Atomix,14:28:50
0,Accessories > Find Files,13:26:30
0,Exo-desktop-item-edit,12:53:20
0,Games > Edutainment Suite — Child’s Play,12:20:10
0,Accessories > Help,10:36:20
0,Games > Edutainment Suite — GCompris,09:05:00
0,Settings > Display,08:43:40
0,Multimedia > Audacity,08:06:00
0,Allegro,08:03:20
0,Wrapper-1.0,06:19:20
0,Graphics > Desktop Publishing — Scribus,05:56:30
0,Office > Finance Management,04:43:00
0,Log Out,04:29:20
0,khangman,04:28:40
0,kig,04:15:10
0,Office > Project Planner,04:00:50
0,step,03:42:20
0,Settings > Window Manager,03:41:10
0,Settings > Password,03:29:40
0,kbruch,02:47:00
0,Education > SPSS Statistics clone,02:40:40
0,Volume (systray applet),02:16:10
0,libreoffice-math (libreoffice),02:02:30
0,Settings > Mouse and Touchpad,01:28:50
0,Settings > Accessibility,01:13:20
0,Helper-dialog,01:11:00
0,Settings > Keyboard,00:59:40
0,Settings > Notifications,00:59:10
0,Accessories > Screenshot,00:52:10
0,Settings > Factory Reset,00:49:50
0,Settings > Password Reset,00:40:00
0,Education > Graphics Calculator,00:39:00
0,Exo-helper-1,00:09:50
0,Thunar-volman,00:04:30
0,Gvncviewer,00:04:10
0,Kig,00:02:00
0,Exo-open,00:01:20
0,Gnome-help,00:00:50
0,Accessories > Archive Manager,00:00:20
0,Reset,00:00:20
0,Xfsettingsd,00:00:20
