Rank,Application,"Duration (6 months, all detainees)"
5088,Multimedia > Media player,16 years 8 mons 6 days 13:45:10
2146,NO APPLICATION,7 years 13 days 15:43:10
1566,Internet > Web Browser,5 years 1 mon 19 days 03:19:00
213,LibreOffice (libreoffice-writer),8 mons 11 days 06:37:30
157,Games > Card > Solitaire,6 mons 5 days 02:42:30
84,Games > Other > Endless Sky,3 mons 8 days 17:53:30
83,System > File Manager,3 mons 7 days 17:16:10
55,Games > Sports > Elastomania clone,2 mons 4 days 16:23:00
51,Games > Strategy > The Battle for Wesnoth,2 mons 07:02:30
50,Games > Strategy > Warzone 2100,1 mon 28 days 16:15:20
50,Games > Board > Mahjong Solitaire,1 mon 28 days 13:29:40
48,Games > Adventure > Dungeon Crawl,1 mon 27 days 01:45:30
42,Graphics > Image Viewer,1 mon 20 days 02:07:20
37,Games > Arcade > Mario Kart clone,1 mon 13 days 18:43:40
34,Games > Board > Chess,1 mon 9 days 15:05:10
30,Accessories > Calculator,1 mon 5 days 03:10:10
25,LibreOffice (libreoffice-calc),1 mon 00:00:30
25,Games > Logic > Sudoku,29 days 15:27:20
23,LibreOffice (libreoffice-draw),26 days 18:27:00
20,Games > Falling Blocks > Tetris clone,24 days 01:16:50
18,Games > Other > Arkanoid (Breakout) clone,20 days 20:42:50
15,Taskbar,18 days 04:44:20
12,Graphics > Photo Editor,13 days 20:40:10
11,Games > Strategy > Transport Tycoon Deluxe clone,12 days 16:27:10
10,DOOM clone (all campaigns),12 days 03:07:30
10,Games > Logic > Tetravex,12 days 03:02:40
10,LibreOffice,12 days 00:52:10
9,Games > Arcade > OpenTyrian,10 days 14:57:40
9,Games > Other > Cataclysm: Dark Days Ahead,10 days 09:03:10
9,LibreOffice (libreoffice-impress),10 days 06:50:40
9,Games > Arcade > Super Mario clone,10 days 05:32:00
4,Games > Logic > Minesweeper,5 days 04:06:30
4,Games > Logic > Connect4 clone,4 days 06:09:30
3,Games > Other > 2048,4 days 01:36:10
3,Graphics > Computer Aided Design (CAD),3 days 17:49:10
3,Allegro-based game,3 days 04:44:20
