Rank,Application,"Duration (6 months, all detainees)"
2943,Multimedia > Watch TV,6 years 10 mons 12 days 17:19:50
2827,Multimedia > Media player,6 years 7 mons 5 days 06:08:30
1860,NO APPLICATION,4 years 4 mons 2 days 15:54:30
980,Internet > Web Browser,2 years 3 mons 13 days 14:54:30
221,Office > Word Processor (libreoffice),6 mons 5 days 22:44:50
218,Games > Solitaire,6 mons 3 days 10:46:20
154,Graphics > Image Viewer,4 mons 9 days 03:25:50
142,Games > Endless Sky,3 mons 29 days 00:01:50
61,Games > Elastomania clone,1 mon 21 days 00:37:20
58,Games > The Battle for Wesnoth,1 mon 18 days 10:32:40
56,System > File Manager,1 mon 16 days 15:16:00
46,Games > Warzone 2100,1 mon 8 days 05:26:40
36,Games > Mario Kart clone,1 mon 00:41:00
32,Games > Arkanoid (Breakout) clone,26 days 12:23:20
29,Games > Mahjong Solitaire,24 days 13:48:30
29,Games > Transport Tycoon Deluxe clone,24 days 08:45:50
26,Office > Dictionary,22 days 03:41:20
26,Games > Chess,22 days 01:09:10
25,Taskbar,20 days 19:26:00
22,Office > Spreadsheet (libreoffice),18 days 21:15:30
22,Accessories > Calculator,18 days 17:40:30
22,Games > Sudoku,18 days 03:09:50
20,DOOM clone (all campaigns),16 days 20:53:30
18,Games > Blob Wars : Metal Blob Solid,15 days 00:55:30
17,Games > 2048,13 days 23:33:50
15,Games > Tetris clone,12 days 05:03:40
9,Games > Super Mario clone,7 days 18:15:50
8,UNKNOWN APPLICATION,7 days 02:38:00
8,perl,6 days 10:10:20
7,Office > Drawing Program (libreoffice),5 days 18:37:10
7,Office > Presentation (libreoffice),5 days 12:17:30
6,LibreOffice,4 days 20:53:00
6,Games > Asteroids clone,4 days 17:48:40
5,Graphics > Photo Editor,3 days 19:20:30
4,Games > Minesweeper,3 days 01:13:20
3,Education > Terrestrial Globe,2 days 14:52:40
3,Games > Worms clone,2 days 10:10:30
3,Games > Civilization clone,2 days 07:28:50
2,Games > Bomberman clone,2 days 00:28:00
2,Games > Connect4 clone,1 day 17:49:40
2,Games > Nikwi Deluxe,1 day 15:01:30
2,Games > Iagno,1 day 14:50:00
2,Games > Swell Foop,1 day 10:43:10
2,Games > MiniGolf,1 day 10:21:10
1,Games > Klotski,1 day 06:05:00
1,Games > Frogatto,1 day 04:11:50
1,Graphics > Diagram Editor,1 day 00:02:00
1,libreoffice-startcenter (libreoffice),19:55:40
1,Games > Bosconian clone,19:04:20
1,Accessories > Find Files,17:53:50
1,Games > Tetris Attack clone,15:16:50
1,Games > Project: Starfighter,14:19:20
1,Games > SimCity clone,13:31:00
1,Games > Raiden clone,13:00:40
1,Point-and-Click Adventure Games,10:46:40
1,Graphics > Vector Graphics Editor,10:37:30
0,Accessories > Help,09:51:00
0,Exo-desktop-item-edit,09:36:40
0,Games > Lemmings clone,09:35:50
0,kgeography,08:26:00
0,NPhysics,06:55:00
0,Games > Jezzball clone,06:51:00
0,Office > Finance Management,05:28:30
0,Education > Typing Tutor,05:02:00
0,Games > BurgerTime clone,04:46:10
0,Education > Japanese/English Dictionary,04:30:50
0,knavalbattle,03:50:30
0,Education > KStars,03:46:50
0,Games > Edutainment Suite — GCompris,03:46:30
0,Graphics > Desktop Publishing — Scribus,03:44:40
0,Games > Liero,03:29:30
0,Games > Hitori,03:16:20
0,Games > Tron,02:52:50
0,Games > Zarathrusta clone,02:52:20
0,Settings > Appearance,02:41:30
0,Games > Qonk,02:37:40
0,Education > Periodic Table,02:32:50
0,Allegro,02:32:40
0,Games > Atomix,02:28:20
0,Education > SPSS Statistics clone,02:22:20
0,Games > Lights Off,02:20:20
0,Games > Oxyd clone,02:08:30
0,Games > Paradroid clone,01:47:30
0,Wrapper-1.0,01:41:30
0,Settings > Window Manager,01:39:00
0,Graphics > Computer Aided Design (CAD),01:16:40
0,Settings > Password Reset,01:12:40
0,kig,01:07:40
0,Games > Torus Trooper,01:02:00
0,Settings > Display,00:57:00
0,Settings > Mouse and Touchpad,00:46:10
0,Settings > Keyboard,00:38:00
0,Volume (systray applet),00:37:30
0,Settings > Factory Reset,00:37:10
0,Settings > Accessibility,00:35:50
0,Interactive Fiction Games (GLULX),00:34:50
0,Helper-dialog,00:34:30
0,kbruch,00:32:00
0,khangman,00:22:40
0,Exo-helper-1,00:20:20
0,Interactive Fiction Games (Inform),00:19:30
0,Settings > Notifications,00:15:20
0,Office > Project Planner,00:09:10
0,Toggle-opendyslexic-in-chromium-debian9,00:04:40
0,step,00:04:20
0,Log Out,00:03:00
0,Kig,00:01:30
0,Exo-open,00:01:10
0,Education > Graphics Calculator,00:01:00
0,Thunar-volman,00:00:50
0,Advsys,00:00:50
0,libreoffice-math (libreoffice),00:00:30
