Rank,Application,"Duration (6 months, all detainees)"
2770,Multimedia > Watch TV,8 years 4 mons 25 days 01:15:10
2695,Multimedia > Media player,8 years 2 mons 3 days 11:48:20
2448,NO APPLICATION,7 years 5 mons 4 days 04:33:30
642,Internet > Web Browser,1 year 11 mons 11 days 10:10:30
257,Games > Solitaire,9 mons 10 days 18:12:50
134,Games > Mario Kart clone,4 mons 26 days 01:44:10
127,Office > Word Processor (libreoffice),4 mons 18 days 20:23:40
125,Games > Elastomania clone,4 mons 16 days 14:29:40
99,Graphics > Image Viewer,3 mons 18 days 11:41:40
74,System > File Manager,2 mons 21 days 00:46:40
59,Games > Mahjong Solitaire,2 mons 3 days 23:08:40
55,Games > 2048,1 mon 29 days 13:47:40
50,Games > The Battle for Wesnoth,1 mon 25 days 00:38:40
45,Games > Transport Tycoon Deluxe clone,1 mon 18 days 15:25:10
42,Games > Super Mario clone,1 mon 15 days 09:27:20
32,Games > Warzone 2100,1 mon 5 days 06:48:50
29,Accessories > Calculator,1 mon 1 day 06:35:10
27,Office > Dictionary,29 days 19:15:20
27,Games > Chess,29 days 05:23:20
26,Taskbar,28 days 12:28:40
24,Games > Arkanoid (Breakout) clone,25 days 17:32:20
23,Games > Frogatto,24 days 14:46:50
19,Office > Spreadsheet (libreoffice),21 days 06:06:10
19,Games > Blob Wars : Metal Blob Solid,21 days 01:27:20
17,DOOM clone (all campaigns),18 days 06:46:10
16,Games > Oxyd clone,17 days 15:36:00
16,Games > Sudoku,17 days 12:58:00
15,Graphics > Photo Editor,15 days 22:02:30
13,Games > Civilization clone,14 days 16:46:00
7,Games > Tetris clone,7 days 23:20:40
7,UNKNOWN APPLICATION,7 days 21:53:10
6,Education > Terrestrial Globe,6 days 04:39:40
5,Graphics > Vector Graphics Editor,5 days 18:29:10
4,Games > Asteroids clone,4 days 15:03:20
3,LibreOffice,3 days 17:59:00
3,Games > Worms clone,3 days 08:46:40
3,perl,3 days 02:28:20
3,Games > SimCity clone,3 days 01:15:10
2,Games > Lemmings clone,2 days 16:02:40
2,Graphics > Computer Aided Design (CAD),2 days 13:47:40
2,Office > Drawing Program (libreoffice),2 days 13:14:10
2,Games > Project: Starfighter,2 days 12:07:50
2,Games > MiniGolf,2 days 09:32:40
2,Education > KStars,2 days 04:28:30
1,Games > Connect4 clone,1 day 13:55:30
1,Games > Minesweeper,1 day 13:55:10
1,Games > Torus Trooper,1 day 11:27:40
1,Point-and-Click Adventure Games,1 day 08:01:40
1,Games > Nikwi Deluxe,1 day 02:07:40
1,Games > Jezzball clone,1 day 00:53:40
1,Exo-desktop-item-edit,1 day 00:22:40
1,Office > Presentation (libreoffice),23:58:30
1,Games > BurgerTime clone,18:14:00
1,Education > Typing Tutor,17:31:50
1,knavalbattle,15:00:50
1,Games > Qonk,14:45:00
1,Games > Raiden clone,13:51:50
0,NPhysics,11:36:00
0,Games > Liero,10:33:00
0,Games > Bomberman clone,10:30:10
0,Education > Japanese/English Dictionary,10:22:30
0,Graphics > Diagram Editor,10:17:00
0,Office > Finance Management,10:09:00
0,Games > Edutainment Suite — Child’s Play,09:49:40
0,Games > Bosconian clone,09:47:40
0,Accessories > Find Files,09:46:10
0,Settings > Appearance,08:45:40
0,Games > Edutainment Suite — GCompris,07:35:40
0,Games > Zarathrusta clone,07:14:50
0,Interactive Fiction Games (Inform),07:04:40
0,Games > Paradroid clone,06:04:00
0,kgeography,05:42:40
0,Interactive Fiction Games (GLULX),04:53:50
0,Games > Tron,04:46:00
0,khangman,04:46:00
0,Education > Periodic Table,04:36:40
0,Accessories > Help,04:29:10
0,Office > Project Planner,03:58:20
0,Settings > Display,03:36:50
0,kbruch,03:34:40
0,Wrapper-1.0,03:23:50
0,Allegro,03:02:00
0,Helper-dialog,02:43:40
0,Graphics > Desktop Publishing — Scribus,02:27:30
0,Games > Atomix,02:24:30
0,Games > Tetris Attack clone,02:09:10
0,Settings > Password Reset,01:58:20
0,kig,01:55:10
0,Settings > Factory Reset,01:38:00
0,Volume (systray applet),01:15:10
0,Settings > Window Manager,01:13:30
0,Log Out,01:05:30
0,libreoffice-startcenter (libreoffice),01:05:00
0,Education > SPSS Statistics clone,01:04:00
0,step,00:58:40
0,Settings > Accessibility,00:44:00
0,Settings > Mouse and Touchpad,00:27:00
0,Exo-helper-1,00:19:50
0,Settings > Notifications,00:19:00
0,Settings > Keyboard,00:16:40
0,Education > Graphics Calculator,00:16:00
0,Thunar-volman,00:03:20
0,Exo-open,00:01:00
0,Kig,00:00:30
0,Advsys,00:00:30
0,libreoffice-math (libreoffice),00:00:20
0,Multimedia > Audacity,00:00:10
