Rank,Application,"Duration (6 months, all detainees)"
3454,Multimedia > Watch TV,9 years 7 mons 23 days 16:13:20
2354,Multimedia > Media player,6 years 6 mons 27 days 00:46:20
1980,NO APPLICATION,5 years 6 mons 10 days 23:58:20
634,Internet > Web Browser,1 year 9 mons 7 days 23:46:50
230,Games > Solitaire,7 mons 20 days 20:55:30
213,Office > Word Processor (libreoffice),7 mons 4 days 12:06:10
166,Games > Endless Sky,5 mons 16 days 14:44:00
158,Games > Elastomania clone,5 mons 8 days 10:24:10
137,Graphics > Image Viewer,4 mons 18 days 05:03:50
80,Games > Warzone 2100,2 mons 20 days 12:35:30
62,Games > Transport Tycoon Deluxe clone,2 mons 2 days 15:27:50
57,Games > Mario Kart clone,1 mon 27 days 07:04:20
52,System > File Manager,1 mon 22 days 15:44:40
50,Games > Mahjong Solitaire,1 mon 20 days 18:42:50
32,Games > 2048,1 mon 2 days 16:21:40
26,Accessories > Calculator,26 days 03:12:00
25,Taskbar,25 days 05:15:20
25,Office > Dictionary,24 days 23:06:40
23,Games > The Battle for Wesnoth,23 days 11:31:20
20,Games > Sudoku,20 days 01:15:10
20,Office > Spreadsheet (libreoffice),19 days 14:43:20
17,Games > Arkanoid (Breakout) clone,17 days 00:58:10
16,Games > Chess,15 days 21:24:10
16,DOOM clone (all campaigns),15 days 19:20:00
15,Games > Asteroids clone,15 days 03:10:10
14,Games > Super Mario clone,13 days 22:42:10
12,Games > Tetris clone,11 days 17:50:50
10,Games > Blob Wars : Metal Blob Solid,10 days 05:16:20
9,Games > MiniGolf,8 days 23:26:10
9,UNKNOWN APPLICATION,8 days 19:27:50
7,Education > KStars,6 days 18:15:00
6,Games > Civilization clone,6 days 12:40:30
5,Games > Frogatto,5 days 06:33:00
5,Office > Drawing Program (libreoffice),5 days 03:18:50
5,LibreOffice,4 days 20:47:20
4,Games > Swell Foop,4 days 10:49:40
4,Games > Bosconian clone,3 days 21:28:40
3,Office > Presentation (libreoffice),3 days 07:38:00
3,Games > Klotski,3 days 02:30:10
3,Graphics > Photo Editor,3 days 02:04:20
3,Education > Terrestrial Globe,3 days 01:29:30
3,Games > Minesweeper,2 days 22:36:50
2,perl,2 days 11:58:20
2,Games > Project: Starfighter,2 days 08:30:30
2,Games > Iagno,2 days 06:14:10
2,Point-and-Click Adventure Games,2 days 00:39:10
2,libreoffice-startcenter (libreoffice),1 day 21:41:00
2,Games > SimCity clone,1 day 18:28:10
2,kgeography,1 day 17:46:00
2,Graphics > Diagram Editor,1 day 14:34:40
1,Games > Nikwi Deluxe,1 day 08:44:00
1,Games > Zarathrusta clone,1 day 01:41:40
1,Exo-desktop-item-edit,23:15:20
1,Games > Lemmings clone,19:33:50
1,Games > Worms clone,18:24:40
1,Games > Bomberman clone,17:44:50
1,Games > Connect4 clone,16:55:50
1,Education > Japanese/English Dictionary,16:22:00
1,Games > BurgerTime clone,14:25:40
1,Games > Torus Trooper,13:19:30
1,Education > Typing Tutor,12:58:10
1,Education > Periodic Table,12:44:30
0,Games > Liero,11:23:10
0,Games > Tron,10:37:10
0,Accessories > Find Files,10:14:40
0,Games > Hitori,09:37:10
0,Games > Oxyd clone,09:28:20
0,Education > SPSS Statistics clone,08:27:50
0,Office > Finance Management,08:08:20
0,Accessories > Help,07:55:30
0,Games > Jezzball clone,07:54:10
0,Settings > Display,07:46:30
0,Graphics > Vector Graphics Editor,07:01:10
0,Games > Raiden clone,06:45:40
0,Interactive Fiction Games (GLULX),06:15:40
0,Games > Atomix,06:15:30
0,Games > Paradroid clone,05:45:30
0,Games > Edutainment Suite — GCompris,04:42:40
0,Games > Lights Off,04:34:50
0,Settings > Appearance,03:46:20
0,Games > Qonk,03:39:30
0,Graphics > Computer Aided Design (CAD),03:28:30
0,knavalbattle,03:26:50
0,NPhysics,03:20:30
0,Wrapper-1.0,03:04:10
0,Games > Tetris Attack clone,02:34:00
0,Settings > Password Reset,01:39:50
0,Allegro,01:35:00
0,Exo-helper-1,01:18:20
0,Settings > Mouse and Touchpad,01:16:00
0,Settings > Factory Reset,01:13:40
0,khangman,01:04:40
0,Settings > Window Manager,00:54:10
0,Volume (systray applet),00:47:40
0,kig,00:34:20
0,Office > Project Planner,00:33:20
0,Graphics > Desktop Publishing — Scribus,00:32:40
0,Settings > Accessibility,00:23:40
0,Helper-dialog,00:23:00
0,kbruch,00:17:30
0,Settings > Keyboard,00:14:20
0,Settings > Notifications,00:13:50
0,step,00:10:50
0,Toggle-opendyslexic-in-chromium-debian9,00:08:20
0,Log Out,00:07:10
0,Interactive Fiction Games (Inform),00:06:00
0,Education > Graphics Calculator,00:02:40
0,Exo-open,00:01:00
0,Thunar-volman,00:00:50
0,Advsys,00:00:40
0,libreoffice-math (libreoffice),00:00:30
0,Multimedia > Audacity,00:00:10
