Rank,Application,"Duration (6 months, all detainees)"
4546,Multimedia > Media player,14 years 1 mon 3 days 11:40:10
2472,NO APPLICATION,7 years 7 mons 28 days 18:09:20
1774,Internet > Web Browser,5 years 5 mons 29 days 08:50:30
230,LibreOffice (libreoffice-writer),8 mons 16 days 23:26:50
149,System > File Manager,5 mons 15 days 21:01:50
119,Games > Card > Solitaire,4 mons 12 days 23:03:40
90,Games > Sports > Elastomania clone,3 mons 10 days 20:31:00
60,Games > Other > Endless Sky,2 mons 7 days 09:31:20
51,Graphics > Image Viewer,1 mon 26 days 13:42:20
47,Games > Strategy > Warzone 2100,1 mon 22 days 00:52:50
47,Games > Strategy > The Battle for Wesnoth,1 mon 21 days 22:53:10
43,Games > Board > Chess,1 mon 17 days 13:55:40
42,Games > Board > Mahjong Solitaire,1 mon 16 days 11:19:30
33,Games > Falling Blocks > Tetris clone,1 mon 7 days 07:25:30
33,Accessories > Calculator,1 mon 6 days 19:23:10
30,LibreOffice (libreoffice-calc),1 mon 3 days 23:53:40
22,Games > Strategy > Transport Tycoon Deluxe clone,24 days 06:30:00
20,LibreOffice (libreoffice-draw),22 days 18:46:50
18,Graphics > Photo Editor,19 days 13:25:40
16,Games > Arcade > Super Mario clone,18 days 02:19:40
16,Games > Arcade > Mario Kart clone,17 days 13:46:10
16,Games > Logic > Sudoku,17 days 11:54:40
15,Taskbar,17 days 00:12:00
12,Games > Adventure > Dungeon Crawl,13 days 02:23:30
11,Games > Strategy > Civilization clone,12 days 11:03:30
8,LibreOffice,9 days 00:33:30
8,DOOM clone (all campaigns),8 days 19:31:00
8,Games > Arcade > Power Manga,8 days 12:52:20
5,Allegro-based game,5 days 23:26:30
5,Games > Other > Cataclysm: Dark Days Ahead,5 days 14:24:30
5,Games > Logic > Minesweeper,5 days 03:38:20
4,Games > Action > Blob Wars : Metal Blob Solid,4 days 08:50:00
4,LibreOffice (libreoffice-impress),4 days 06:22:20
3,alephone,3 days 14:38:20
3,Games > Logic > Tetravex,2 days 19:17:40
2,Multimedia > Metronome,2 days 13:26:20
