Rank,Application,"Duration (6 months, all detainees)"
3444,Multimedia > Media player,7 years 4 mons 14 days 02:38:40
2739,NO APPLICATION,5 years 10 mons 10 days 21:34:20
2359,Internet > Web Browser,5 years 17 days 15:35:30
238,LibreOffice (libreoffice-writer),6 mons 3 days 01:57:20
196,Graphics > Image Viewer,5 mons 1 day 06:27:50
180,Games > Card > Solitaire,4 mons 18 days 19:06:20
92,System > File Manager,2 mons 10 days 18:21:40
84,Games > Sports > Elastomania clone,2 mons 4 days 16:36:00
81,Games > Strategy > Warzone 2100,2 mons 2 days 12:42:40
57,LibreOffice (libreoffice-calc),1 mon 13 days 17:12:20
46,Games > Board > Mahjong Solitaire,1 mon 5 days 04:12:30
45,Games > Arcade > Mario Kart clone,1 mon 4 days 18:55:10
34,Games > Simulation > Transport Tycoon Deluxe clone,26 days 12:25:30
32,Accessories > Calculator,24 days 16:21:00
29,Games > Logic > Sudoku,22 days 02:14:00
29,Games > Falling Blocks > Tetris clone,22 days 01:32:20
28,Games > Arcade > Super Mario clone,21 days 06:47:20
22,Games > Simulation > Endless Sky,16 days 23:50:00
21,Taskbar,16 days 07:54:40
21,wesnoth-1.18,15 days 19:11:10
19,Games > Board > Chess,14 days 15:13:10
19,Graphics > Photo Editor,14 days 06:21:50
18,LibreOffice (libreoffice-draw),14 days 06:08:00
18,Games > Other > Arkanoid (Breakout) clone,14 days 05:38:40
18,dsda-doom,14 days 03:59:20
18,Games > Role-playing > Cataclysm: Dark Days Ahead,13 days 18:37:50
14,Games > Adventure > Dungeon Crawl,10 days 23:31:00
13,Games > Logic > Minesweeper,10 days 05:55:30
11,LibreOffice (libreoffice-impress),8 days 19:59:10
7,Games > Arcade > OpenTyrian,5 days 14:12:20
6,Games > Action > Blob Wars : Metal Blob Solid,4 days 17:54:50
6,LibreOffice,4 days 10:54:20
5,Games > Arcade > Bosconian clone,3 days 22:01:20
3,Games > Arcade > Nikwi Deluxe,2 days 11:54:30
3,Games > Strategy > Lemmings clone,2 days 00:51:00
3,Games > Arcade > Nibbles (Gnome-nibbles),1 day 22:19:40
2,alephone,1 day 19:49:30
2,Games > Logic > Swell Foop,1 day 17:30:20
2,Science > Terrestrial Globe (Marble Virtual Globe),1 day 15:03:50
2,Games > Arcade > Starfighter,1 day 13:40:50
2,Games > Logic > Crosswords,1 day 12:59:10
2,perl,1 day 11:11:30
2,exo-desktop-item-edit,1 day 05:19:20
1,Games > Board > Reversi,1 day 03:41:30
1,wesnoth-1.16,1 day 03:10:30
1,Games > Other > 2048 (Gnome-2048),1 day 01:47:50
1,Games > Arcade > JezzBall clone,1 day 01:41:30
1,Allegro-based game,1 day 00:23:00
1,Games > Arcade > Asteroids clone,23:44:50
1,Games > Logic > Tetravex,22:50:40
1,Games > Logic > Connect4 clone,19:39:30
1,Games > Arcade > Power Manga,19:37:50
1,Games > Arcade > BurgerTime clone,18:07:00
1,Games > Logic > Klotski,17:59:00
1,Games > Arcade > MiniGolf,17:07:40
1,Games > Simulation > SimCity clone,16:12:40
1,Games > Strategy > Singularity,13:25:00
1,Accessories > Japanese/English Dictionary,11:59:40
1,Games > Arcade > Worms clone,11:49:40
1,prisonpc__Complain (Chromium),10:46:50
1,Graphics > Vector Graphics Editor (Inkscape),10:27:20
1,Graphics > Computer Aided Design (CAD),10:02:00
1,Education > Typing Tutor,09:52:00
1,Education > Geography Trainer,09:45:20
0,Games > Arcade > Bomberman clone,08:14:20
0,Games > Logic > Brain Teasers,08:03:40
0,Games > Logic > Peg Solitaire,07:38:40
0,Games > Logic > Rubik’s Cube,07:25:00
0,LibreOffice (libreoffice-startcenter),07:04:50
0,Games > Other > Planarity,06:47:40
0,Games > Board > Mastermind clone,06:25:30
0,Games > Logic > Oxyd clone,06:09:30
0,Games > Action > Tron,05:55:40
0,Games > Strategy > Civilization clone,05:46:10
0,crx_gkdcmkjnciohkopjmgfjaofijbebngko (Chromium),05:32:00
0,Office > Finance Management,04:28:50
0,UNKNOWN APPLICATION,03:58:10
0,Multimedia > Volume Control,03:22:20
0,Science > Periodic Table,03:15:50
0,Games > Logic > Jigsaw Puzzle Game,03:06:40
0,Settings > Appearance,02:37:40
0,Settings > Settings Manager,02:37:10
0,Graphics > Diagram Editor,02:34:00
0,xfce4-mime-helper,02:25:20
0,Games > Strategy > Battleship clone,02:15:50
0,Games > Logic > Crayon Physics clone,02:14:10
0,Other > Crossword Editor,01:56:00
0,Games > Arcade > Boatmania,01:42:20
0,Games > Logic > Lights Off,01:39:20
0,Settings > Accessibility,01:25:10
0,Settings > Keyboard,01:18:50
0,Games > Logic > Tangrams,01:06:50
0,Games > Other > Allure of the Stars,01:05:30
0,Games > Arcade > Dangen,01:00:30
0,Settings > Password Reset,00:58:20
0,eduactiv8.py,00:55:30
0,Games > Arcade > Qonk,00:55:20
0,file-jpeg (Gimp-2.10),00:55:00
0,Games > Other > Paradroid clone,00:52:00
0,Games > Arcade > Torus Trooper,00:48:40
0,Games > Arcade > Block Attack,00:45:40
0,Games > Logic > Atomix,00:39:10
0,LibreOffice (libreoffice-math),00:37:20
0,Games > Logic > Hitori,00:36:50
0,Settings > Mouse and Touchpad,00:36:30
0,Games > Action > Liero,00:35:20
0,file-png (Gimp-2.10),00:34:30
0,Multimedia > Metronome,00:32:30
0,file-pdf-load (Gimp-2.10),00:30:30
0,Settings > Notifications,00:27:00
0,Games > Arcade > Zarathrusta clone,00:25:00
0,crx_cplpighpgllfdgioblbbpjleokileeeh (Chromium),00:22:40
0,Office > Project Planner,00:21:00
0,helper-dialog,00:16:20
0,Education > Graphics Calculator,00:13:20
0,factory-reset,00:12:10
0,Settings > Dyslexic font in Chromium,00:06:00
0,print (Gimp-2.10),00:05:50
