Rank,Application,"Duration (6 months, all detainees)"
3431,Multimedia > Media player,6 years 1 mon 22 days 00:48:10
2712,NO APPLICATION,4 years 10 mons 8 days 12:32:50
2376,Internet > Web Browser,4 years 3 mons 2 days 01:42:40
219,LibreOffice (libreoffice-writer),4 mons 21 days 01:52:00
191,Graphics > Image Viewer,4 mons 2 days 22:26:10
177,Games > Card > Solitaire,3 mons 24 days 05:52:40
173,System > File Manager,3 mons 21 days 16:25:40
77,Games > Sports > Elastomania clone,1 mon 19 days 17:09:50
68,Games > Strategy > Warzone 2100,1 mon 14 days 02:32:50
54,LibreOffice (libreoffice-calc),1 mon 4 days 16:17:10
50,Games > Arcade > Mario Kart clone,1 mon 2 days 02:23:30
47,Games > Board > Mahjong Solitaire,1 mon 06:47:50
37,Games > Simulation > Transport Tycoon Deluxe clone,24 days 00:20:40
34,Accessories > Calculator,21 days 16:06:30
32,Games > Logic > Sudoku,20 days 08:08:50
30,Games > Arcade > Super Mario clone,19 days 07:15:20
24,Games > Simulation > Endless Sky,15 days 06:55:50
21,Taskbar,13 days 12:14:10
21,Games > Falling Blocks > Tetris clone,13 days 06:38:50
20,Graphics > Photo Editor,12 days 21:39:10
19,Games > Other > Arkanoid (Breakout) clone,12 days 08:29:30
19,LibreOffice (libreoffice-draw),12 days 01:29:10
18,wesnoth-1.18,11 days 17:12:50
15,Games > Board > Chess,9 days 21:41:30
15,Games > Role-playing > Cataclysm: Dark Days Ahead,9 days 16:41:10
15,dsda-doom,9 days 16:18:20
12,Games > Logic > Minesweeper,8 days 00:14:40
11,LibreOffice (libreoffice-impress),7 days 03:52:20
8,Games > Arcade > OpenTyrian,5 days 10:35:10
8,Games > Adventure > Dungeon Crawl,4 days 20:45:00
7,Games > Action > Blob Wars : Metal Blob Solid,4 days 15:50:20
6,Games > Arcade > Bosconian clone,3 days 21:59:30
5,LibreOffice,3 days 03:03:20
4,Games > Arcade > Nikwi Deluxe,2 days 11:35:00
3,Games > Arcade > Nibbles (Gnome-nibbles),1 day 19:29:10
2,Games > Arcade > Starfighter,1 day 12:00:40
2,Science > Terrestrial Globe (Marble Virtual Globe),1 day 11:15:30
2,Games > Logic > Swell Foop,1 day 11:10:30
2,Games > Logic > Crosswords,1 day 08:54:50
2,Games > Strategy > Lemmings clone,1 day 03:25:50
2,wesnoth-1.16,1 day 03:10:30
2,Games > Arcade > JezzBall clone,1 day 01:34:30
2,exo-desktop-item-edit,1 day 01:34:20
2,Games > Arcade > Asteroids clone,23:38:40
2,Games > Other > 2048 (Gnome-2048),23:29:40
1,Games > Board > Reversi,23:12:20
1,Allegro-based game,21:43:40
1,Games > Logic > Tetravex,18:09:40
1,Games > Logic > Klotski,17:40:30
1,Games > Logic > Connect4 clone,17:23:10
1,Games > Arcade > BurgerTime clone,15:23:10
1,Games > Arcade > MiniGolf,15:16:20
1,perl,14:42:40
